query_id,query_title,sql_text,database,source_tables,as_of_date,status,row_count,result_sha256,limitations
query_01,Activity ranking,"SELECT symbol, activity_score, score_status, event_component_source FROM analysis.analysis_stock_activity WHERE as_of_date <= ? ORDER BY activity_score DESC NULLS LAST, symbol",database/akshare_features_stage7.duckdb,analysis.analysis_stock_activity,2026-07-27,AVAILABLE,16,942d1f44544e9728865b5881d7600b5ea416907627d4cc6f88f5bb77c85ca590,descriptive research output; empty result is valid
query_02,Latest volume expansion,"WITH ranked AS (SELECT symbol, trade_date, close_qfq, volume_ratio_20, ROW_NUMBER() OVER (PARTITION BY symbol ORDER BY trade_date DESC) AS rn FROM feat_price_daily WHERE trade_date <= ?) SELECT symbol, trade_date, close_qfq, volume_ratio_20 FROM ranked WHERE rn=1 AND volume_ratio_20>=1.5 ORDER BY volume_ratio_20 DESC, symbol",database/akshare_features_stage6.duckdb,feat_price_daily,2026-07-27,AVAILABLE,0,a469c49c5da4457020b447ed82f2122c7b71cff0e5ba58f2374bf6363a347f9b,descriptive research output; empty result is valid
query_03,Latest 40-session range profile,"WITH ranked AS (SELECT symbol, trade_date, box_width_40, trend_slope_40, r_squared_40, style_label, style_confidence, ROW_NUMBER() OVER (PARTITION BY symbol ORDER BY trade_date DESC) AS rn FROM feat_style_daily WHERE trade_date <= ?) SELECT symbol, trade_date, box_width_40, trend_slope_40, r_squared_40, style_label, style_confidence FROM ranked WHERE rn=1 ORDER BY box_width_40 ASC NULLS LAST, symbol",database/akshare_features_stage6.duckdb,feat_style_daily,2026-07-27,AVAILABLE,16,7eb5be727353d5e645c4dcf2fb344acd061391fd549f638877cc9e41089a736f,descriptive research output; empty result is valid
