dataset_id,kind,symbol,market,adjust,interval,status,quality_status,row_count,min_value,max_value,listing_date,coverage_status,error_type,error_message,data_path,metadata_path
daily:002067:raw,equity_daily,002067,A,raw,,success,PASS,4808,2006-09-15,2026-08-24,2001-09-26,provider_history_shorter_than_listing,,,data/raw/stage17/equity_daily/run_id=9a0c3c18-5b7d-4d58-a719-172026082424/market=A/symbol=002067/adjust=raw/data.parquet,data/raw/stage17/equity_daily/run_id=9a0c3c18-5b7d-4d58-a719-172026082424/market=A/symbol=002067/adjust=raw/metadata.json
daily:002067:qfq,equity_daily,002067,A,qfq,,success,PASS,4808,2006-09-15,2026-08-24,2001-09-26,provider_history_shorter_than_listing,,,data/raw/stage17/equity_daily/run_id=9a0c3c18-5b7d-4d58-a719-172026082424/market=A/symbol=002067/adjust=qfq/data.parquet,data/raw/stage17/equity_daily/run_id=9a0c3c18-5b7d-4d58-a719-172026082424/market=A/symbol=002067/adjust=qfq/metadata.json
daily:002067:hfq,equity_daily,002067,A,hfq,,success,PASS,4808,2006-09-15,2026-08-24,2001-09-26,provider_history_shorter_than_listing,,,data/raw/stage17/equity_daily/run_id=9a0c3c18-5b7d-4d58-a719-172026082424/market=A/symbol=002067/adjust=hfq/data.parquet,data/raw/stage17/equity_daily/run_id=9a0c3c18-5b7d-4d58-a719-172026082424/market=A/symbol=002067/adjust=hfq/metadata.json
daily:002600:raw,equity_daily,002600,A,raw,,success,PASS,3414,2011-07-15,2026-08-24,,listing_date_unavailable,,,data/raw/stage17/equity_daily/run_id=9a0c3c18-5b7d-4d58-a719-172026082424/market=A/symbol=002600/adjust=raw/data.parquet,data/raw/stage17/equity_daily/run_id=9a0c3c18-5b7d-4d58-a719-172026082424/market=A/symbol=002600/adjust=raw/metadata.json
daily:002600:qfq,equity_daily,002600,A,qfq,,success,PASS,3414,2011-07-15,2026-08-24,,listing_date_unavailable,,,data/raw/stage17/equity_daily/run_id=9a0c3c18-5b7d-4d58-a719-172026082424/market=A/symbol=002600/adjust=qfq/data.parquet,data/raw/stage17/equity_daily/run_id=9a0c3c18-5b7d-4d58-a719-172026082424/market=A/symbol=002600/adjust=qfq/metadata.json
daily:002600:hfq,equity_daily,002600,A,hfq,,success,PASS,3414,2011-07-15,2026-08-24,,listing_date_unavailable,,,data/raw/stage17/equity_daily/run_id=9a0c3c18-5b7d-4d58-a719-172026082424/market=A/symbol=002600/adjust=hfq/data.parquet,data/raw/stage17/equity_daily/run_id=9a0c3c18-5b7d-4d58-a719-172026082424/market=A/symbol=002600/adjust=hfq/metadata.json
daily:002230:raw,equity_daily,002230,A,raw,,success,PASS,4357,2008-05-12,2026-08-24,,listing_date_unavailable,,,data/raw/stage17/equity_daily/run_id=9a0c3c18-5b7d-4d58-a719-172026082424/market=A/symbol=002230/adjust=raw/data.parquet,data/raw/stage17/equity_daily/run_id=9a0c3c18-5b7d-4d58-a719-172026082424/market=A/symbol=002230/adjust=raw/metadata.json
daily:002230:qfq,equity_daily,002230,A,qfq,,success,FAIL,4357,2008-05-12,2026-08-24,,listing_date_unavailable,,negative_market_value,data/raw/stage17/equity_daily/run_id=9a0c3c18-5b7d-4d58-a719-172026082424/market=A/symbol=002230/adjust=qfq/data.parquet,data/raw/stage17/equity_daily/run_id=9a0c3c18-5b7d-4d58-a719-172026082424/market=A/symbol=002230/adjust=qfq/metadata.json
daily:002230:hfq,equity_daily,002230,A,hfq,,success,PASS,4357,2008-05-12,2026-08-24,,listing_date_unavailable,,,data/raw/stage17/equity_daily/run_id=9a0c3c18-5b7d-4d58-a719-172026082424/market=A/symbol=002230/adjust=hfq/data.parquet,data/raw/stage17/equity_daily/run_id=9a0c3c18-5b7d-4d58-a719-172026082424/market=A/symbol=002230/adjust=hfq/metadata.json
daily:600763:raw,equity_daily,600763,A,raw,,success,PASS,6805,1996-10-30,2026-08-24,1995-08-30,provider_history_shorter_than_listing,,,data/raw/stage17/equity_daily/run_id=9a0c3c18-5b7d-4d58-a719-172026082424/market=A/symbol=600763/adjust=raw/data.parquet,data/raw/stage17/equity_daily/run_id=9a0c3c18-5b7d-4d58-a719-172026082424/market=A/symbol=600763/adjust=raw/metadata.json
