dataset_id,market,symbol,category,interface,provider,variant,parameters,expected_temporality,required_identity
HK:06919.HK:balance_sheet:stock_financial_hk_report_em:report_period,HK,06919.HK,balance_sheet,stock_financial_hk_report_em,EastmoneyDataCenter,report_period,"{""indicator"": ""报告期"", ""stock"": ""06919"", ""symbol"": ""资产负债表""}",history,request_parameter_bound
HK:06919.HK:income_statement:stock_financial_hk_report_em:annual,HK,06919.HK,income_statement,stock_financial_hk_report_em,EastmoneyDataCenter,annual,"{""indicator"": ""年度"", ""stock"": ""06919"", ""symbol"": ""利润表""}",history,request_parameter_bound
HK:06919.HK:income_statement:stock_financial_hk_report_em:report_period,HK,06919.HK,income_statement,stock_financial_hk_report_em,EastmoneyDataCenter,report_period,"{""indicator"": ""报告期"", ""stock"": ""06919"", ""symbol"": ""利润表""}",history,request_parameter_bound
HK:06919.HK:cash_flow_statement:stock_financial_hk_report_em:annual,HK,06919.HK,cash_flow_statement,stock_financial_hk_report_em,EastmoneyDataCenter,annual,"{""indicator"": ""年度"", ""stock"": ""06919"", ""symbol"": ""现金流量表""}",history,request_parameter_bound
HK:06919.HK:cash_flow_statement:stock_financial_hk_report_em:report_period,HK,06919.HK,cash_flow_statement,stock_financial_hk_report_em,EastmoneyDataCenter,report_period,"{""indicator"": ""报告期"", ""stock"": ""06919"", ""symbol"": ""现金流量表""}",history,request_parameter_bound
HK:06919.HK:valuation_snapshot:stock_hk_financial_indicator_em:current,HK,06919.HK,valuation_snapshot,stock_hk_financial_indicator_em,EastmoneyDataCenter,current,"{""symbol"": ""06919""}",snapshot,request_parameter_bound
HK:08365.HK:financial_indicator:stock_financial_hk_analysis_indicator_em:annual,HK,08365.HK,financial_indicator,stock_financial_hk_analysis_indicator_em,EastmoneyDataCenter,annual,"{""indicator"": ""年度"", ""symbol"": ""08365""}",history,request_parameter_bound
HK:08365.HK:financial_indicator:stock_financial_hk_analysis_indicator_em:report_period,HK,08365.HK,financial_indicator,stock_financial_hk_analysis_indicator_em,EastmoneyDataCenter,report_period,"{""indicator"": ""报告期"", ""symbol"": ""08365""}",history,request_parameter_bound
HK:08365.HK:balance_sheet:stock_financial_hk_report_em:annual,HK,08365.HK,balance_sheet,stock_financial_hk_report_em,EastmoneyDataCenter,annual,"{""indicator"": ""年度"", ""stock"": ""08365"", ""symbol"": ""资产负债表""}",history,request_parameter_bound
HK:08365.HK:balance_sheet:stock_financial_hk_report_em:report_period,HK,08365.HK,balance_sheet,stock_financial_hk_report_em,EastmoneyDataCenter,report_period,"{""indicator"": ""报告期"", ""stock"": ""08365"", ""symbol"": ""资产负债表""}",history,request_parameter_bound
HK:08365.HK:income_statement:stock_financial_hk_report_em:annual,HK,08365.HK,income_statement,stock_financial_hk_report_em,EastmoneyDataCenter,annual,"{""indicator"": ""年度"", ""stock"": ""08365"", ""symbol"": ""利润表""}",history,request_parameter_bound
HK:08365.HK:income_statement:stock_financial_hk_report_em:report_period,HK,08365.HK,income_statement,stock_financial_hk_report_em,EastmoneyDataCenter,report_period,"{""indicator"": ""报告期"", ""stock"": ""08365"", ""symbol"": ""利润表""}",history,request_parameter_bound
HK:08365.HK:cash_flow_statement:stock_financial_hk_report_em:annual,HK,08365.HK,cash_flow_statement,stock_financial_hk_report_em,EastmoneyDataCenter,annual,"{""indicator"": ""年度"", ""stock"": ""08365"", ""symbol"": ""现金流量表""}",history,request_parameter_bound
HK:08365.HK:cash_flow_statement:stock_financial_hk_report_em:report_period,HK,08365.HK,cash_flow_statement,stock_financial_hk_report_em,EastmoneyDataCenter,report_period,"{""indicator"": ""报告期"", ""stock"": ""08365"", ""symbol"": ""现金流量表""}",history,request_parameter_bound
HK:08365.HK:valuation_snapshot:stock_hk_financial_indicator_em:current,HK,08365.HK,valuation_snapshot,stock_hk_financial_indicator_em,EastmoneyDataCenter,current,"{""symbol"": ""08365""}",snapshot,request_parameter_bound
HK:08462.HK:financial_indicator:stock_financial_hk_analysis_indicator_em:annual,HK,08462.HK,financial_indicator,stock_financial_hk_analysis_indicator_em,EastmoneyDataCenter,annual,"{""indicator"": ""年度"", ""symbol"": ""08462""}",history,request_parameter_bound
HK:08462.HK:financial_indicator:stock_financial_hk_analysis_indicator_em:report_period,HK,08462.HK,financial_indicator,stock_financial_hk_analysis_indicator_em,EastmoneyDataCenter,report_period,"{""indicator"": ""报告期"", ""symbol"": ""08462""}",history,request_parameter_bound
HK:08462.HK:balance_sheet:stock_financial_hk_report_em:annual,HK,08462.HK,balance_sheet,stock_financial_hk_report_em,EastmoneyDataCenter,annual,"{""indicator"": ""年度"", ""stock"": ""08462"", ""symbol"": ""资产负债表""}",history,request_parameter_bound
HK:08462.HK:balance_sheet:stock_financial_hk_report_em:report_period,HK,08462.HK,balance_sheet,stock_financial_hk_report_em,EastmoneyDataCenter,report_period,"{""indicator"": ""报告期"", ""stock"": ""08462"", ""symbol"": ""资产负债表""}",history,request_parameter_bound
HK:08462.HK:income_statement:stock_financial_hk_report_em:annual,HK,08462.HK,income_statement,stock_financial_hk_report_em,EastmoneyDataCenter,annual,"{""indicator"": ""年度"", ""stock"": ""08462"", ""symbol"": ""利润表""}",history,request_parameter_bound
HK:08462.HK:income_statement:stock_financial_hk_report_em:report_period,HK,08462.HK,income_statement,stock_financial_hk_report_em,EastmoneyDataCenter,report_period,"{""indicator"": ""报告期"", ""stock"": ""08462"", ""symbol"": ""利润表""}",history,request_parameter_bound
HK:08462.HK:cash_flow_statement:stock_financial_hk_report_em:annual,HK,08462.HK,cash_flow_statement,stock_financial_hk_report_em,EastmoneyDataCenter,annual,"{""indicator"": ""年度"", ""stock"": ""08462"", ""symbol"": ""现金流量表""}",history,request_parameter_bound
HK:08462.HK:cash_flow_statement:stock_financial_hk_report_em:report_period,HK,08462.HK,cash_flow_statement,stock_financial_hk_report_em,EastmoneyDataCenter,report_period,"{""indicator"": ""报告期"", ""stock"": ""08462"", ""symbol"": ""现金流量表""}",history,request_parameter_bound
HK:08462.HK:valuation_snapshot:stock_hk_financial_indicator_em:current,HK,08462.HK,valuation_snapshot,stock_hk_financial_indicator_em,EastmoneyDataCenter,current,"{""symbol"": ""08462""}",snapshot,request_parameter_bound
HK:09669.HK:financial_indicator:stock_financial_hk_analysis_indicator_em:annual,HK,09669.HK,financial_indicator,stock_financial_hk_analysis_indicator_em,EastmoneyDataCenter,annual,"{""indicator"": ""年度"", ""symbol"": ""09669""}",history,request_parameter_bound
HK:09669.HK:financial_indicator:stock_financial_hk_analysis_indicator_em:report_period,HK,09669.HK,financial_indicator,stock_financial_hk_analysis_indicator_em,EastmoneyDataCenter,report_period,"{""indicator"": ""报告期"", ""symbol"": ""09669""}",history,request_parameter_bound
HK:09669.HK:balance_sheet:stock_financial_hk_report_em:annual,HK,09669.HK,balance_sheet,stock_financial_hk_report_em,EastmoneyDataCenter,annual,"{""indicator"": ""年度"", ""stock"": ""09669"", ""symbol"": ""资产负债表""}",history,request_parameter_bound
HK:09669.HK:balance_sheet:stock_financial_hk_report_em:report_period,HK,09669.HK,balance_sheet,stock_financial_hk_report_em,EastmoneyDataCenter,report_period,"{""indicator"": ""报告期"", ""stock"": ""09669"", ""symbol"": ""资产负债表""}",history,request_parameter_bound
HK:09669.HK:income_statement:stock_financial_hk_report_em:annual,HK,09669.HK,income_statement,stock_financial_hk_report_em,EastmoneyDataCenter,annual,"{""indicator"": ""年度"", ""stock"": ""09669"", ""symbol"": ""利润表""}",history,request_parameter_bound
HK:09669.HK:income_statement:stock_financial_hk_report_em:report_period,HK,09669.HK,income_statement,stock_financial_hk_report_em,EastmoneyDataCenter,report_period,"{""indicator"": ""报告期"", ""stock"": ""09669"", ""symbol"": ""利润表""}",history,request_parameter_bound
HK:09669.HK:cash_flow_statement:stock_financial_hk_report_em:annual,HK,09669.HK,cash_flow_statement,stock_financial_hk_report_em,EastmoneyDataCenter,annual,"{""indicator"": ""年度"", ""stock"": ""09669"", ""symbol"": ""现金流量表""}",history,request_parameter_bound
HK:09669.HK:cash_flow_statement:stock_financial_hk_report_em:report_period,HK,09669.HK,cash_flow_statement,stock_financial_hk_report_em,EastmoneyDataCenter,report_period,"{""indicator"": ""报告期"", ""stock"": ""09669"", ""symbol"": ""现金流量表""}",history,request_parameter_bound
HK:09669.HK:valuation_snapshot:stock_hk_financial_indicator_em:current,HK,09669.HK,valuation_snapshot,stock_hk_financial_indicator_em,EastmoneyDataCenter,current,"{""symbol"": ""09669""}",snapshot,request_parameter_bound
