dataset_id,kind,symbol,market,adjust,interval,status,quality_status,row_count,min_value,max_value,listing_date,coverage_status,error_type,error_message,source,interface,attempt_count,selected_source,selection_reason,trigger_reason,blocker_category,selected_provider,selected_interface,provider_attempts,quality_result,coverage_result,requested_response_keys,used_response_keys,response_field_fallback,qfq_hfq_identical,data_path,metadata_path
crypto:ETHUSDT:1m,crypto,ETHUSDT,crypto,,1m,success,PASS,129600,2026-05-27T00:00:00+00:00,2026-08-24T23:59:00+00:00,,,,,,,0,,,,,,,,,,,,,,data/raw/stage17/crypto_ohlcv/run_id=68dcbbe5-e065-4737-8688-f909d9f74dc9/market=crypto/symbol=ETHUSDT/interval=1m/data.parquet,data/raw/stage17/crypto_ohlcv/run_id=68dcbbe5-e065-4737-8688-f909d9f74dc9/market=crypto/symbol=ETHUSDT/interval=1m/metadata.json
crypto:ETHUSDT:3m,crypto,ETHUSDT,crypto,,3m,success,PASS,43200,2026-05-27T00:00:00+00:00,2026-08-24T23:57:00+00:00,,,,,,,0,,,,,,,,,,,,,,data/raw/stage17/crypto_ohlcv/run_id=68dcbbe5-e065-4737-8688-f909d9f74dc9/market=crypto/symbol=ETHUSDT/interval=3m/data.parquet,data/raw/stage17/crypto_ohlcv/run_id=68dcbbe5-e065-4737-8688-f909d9f74dc9/market=crypto/symbol=ETHUSDT/interval=3m/metadata.json
crypto:ETHUSDT:5m,crypto,ETHUSDT,crypto,,5m,success,PASS,25920,2026-05-27T00:00:00+00:00,2026-08-24T23:55:00+00:00,,,,,,,0,,,,,,,,,,,,,,data/raw/stage17/crypto_ohlcv/run_id=68dcbbe5-e065-4737-8688-f909d9f74dc9/market=crypto/symbol=ETHUSDT/interval=5m/data.parquet,data/raw/stage17/crypto_ohlcv/run_id=68dcbbe5-e065-4737-8688-f909d9f74dc9/market=crypto/symbol=ETHUSDT/interval=5m/metadata.json
crypto:ETHUSDT:15m,crypto,ETHUSDT,crypto,,15m,success,PASS,8640,2026-05-27T00:00:00+00:00,2026-08-24T23:45:00+00:00,,,,,,,0,,,,,,,,,,,,,,data/raw/stage17/crypto_ohlcv/run_id=68dcbbe5-e065-4737-8688-f909d9f74dc9/market=crypto/symbol=ETHUSDT/interval=15m/data.parquet,data/raw/stage17/crypto_ohlcv/run_id=68dcbbe5-e065-4737-8688-f909d9f74dc9/market=crypto/symbol=ETHUSDT/interval=15m/metadata.json
crypto:ETHUSDT:1h,crypto,ETHUSDT,crypto,,1h,success,PASS,75541,2018-01-11T11:00:00+00:00,2026-08-24T23:00:00+00:00,,,,,,,0,,,,,,,,,,,,,,data/raw/stage17/crypto_ohlcv/run_id=68dcbbe5-e065-4737-8688-f909d9f74dc9/market=crypto/symbol=ETHUSDT/interval=1h/data.parquet,data/raw/stage17/crypto_ohlcv/run_id=68dcbbe5-e065-4737-8688-f909d9f74dc9/market=crypto/symbol=ETHUSDT/interval=1h/metadata.json
crypto:ETHUSDT:1d,crypto,ETHUSDT,crypto,,1d,success,PASS,3148,2018-01-11T00:00:00+00:00,2026-08-24T00:00:00+00:00,,,,,,,0,,,,,,,,,,,,,,data/raw/stage17/crypto_ohlcv/run_id=68dcbbe5-e065-4737-8688-f909d9f74dc9/market=crypto/symbol=ETHUSDT/interval=1d/data.parquet,data/raw/stage17/crypto_ohlcv/run_id=68dcbbe5-e065-4737-8688-f909d9f74dc9/market=crypto/symbol=ETHUSDT/interval=1d/metadata.json
