symbol,adjust,status,call_status,quality_status,row_count,source_row_count,first_date,last_date,coverage_status,requested_blocks,used_response_keys,field_fallback,duplicate_rows_removed,qfq_hfq_identical,quality_errors,attempt_count,data_path,data_sha256,metadata_path,metadata_sha256,error_type,error_message
09669.HK,raw,PASS,success,PASS,829,830,2023-04-13,2026-08-24,complete_to_verified_listing_date,2023|2025,day|day,False,0,True,,2,data/raw/stage17/hk_tencent_recovery_candidate/run_id=c49cacb1-ed29-411b-8685-79762a9fb64b/market=HK/symbol=09669.HK/adjust=raw/source=tencent/data.parquet,0a3b60e25d7ae2d763cfe94c66f8fbbaadf7109117c41e5a7a7eb0bc72f6ce9b,data/raw/stage17/hk_tencent_recovery_candidate/run_id=c49cacb1-ed29-411b-8685-79762a9fb64b/market=HK/symbol=09669.HK/adjust=raw/source=tencent/metadata.json,18130b56552aa2fbb0d5cd4ce7ca475e1755966331f158e9d4ab8df6a5c3835c,,
09669.HK,qfq,PASS,success,PASS,829,1066,2023-04-13,2026-08-24,complete_to_verified_listing_date,2023|2025,day|day,True,236,True,,2,data/raw/stage17/hk_tencent_recovery_candidate/run_id=c49cacb1-ed29-411b-8685-79762a9fb64b/market=HK/symbol=09669.HK/adjust=qfq/source=tencent/data.parquet,0a3b60e25d7ae2d763cfe94c66f8fbbaadf7109117c41e5a7a7eb0bc72f6ce9b,data/raw/stage17/hk_tencent_recovery_candidate/run_id=c49cacb1-ed29-411b-8685-79762a9fb64b/market=HK/symbol=09669.HK/adjust=qfq/source=tencent/metadata.json,6db835abc19da37efba1caff924b17f6d6361a0f769acb18a59b3532a6c46a95,,
09669.HK,hfq,PASS,success,PASS,829,1066,2023-04-13,2026-08-24,complete_to_verified_listing_date,2023|2025,day|day,True,236,True,,2,data/raw/stage17/hk_tencent_recovery_candidate/run_id=c49cacb1-ed29-411b-8685-79762a9fb64b/market=HK/symbol=09669.HK/adjust=hfq/source=tencent/data.parquet,0a3b60e25d7ae2d763cfe94c66f8fbbaadf7109117c41e5a7a7eb0bc72f6ce9b,data/raw/stage17/hk_tencent_recovery_candidate/run_id=c49cacb1-ed29-411b-8685-79762a9fb64b/market=HK/symbol=09669.HK/adjust=hfq/source=tencent/metadata.json,e88aa496b17ecdf124a72e3a9e304ecf877fdb26f8974a28c1d3a43451472acc,,
