dataset_id,kind,symbol,market,adjust,interval,status,quality_status,row_count,min_value,max_value,listing_date,coverage_status,error_type,error_message,data_path,metadata_path
daily:601012:hfq,equity_daily,601012,A,hfq,,success,PASS,3452,2012-04-11,2026-08-24,2012-04-11,complete_to_verified_listing_date,,,data/raw/stage17/equity_daily/run_id=3f2b6d7a-47f1-4f80-b317-172026082424/market=A/symbol=601012/adjust=hfq/data.parquet,data/raw/stage17/equity_daily/run_id=3f2b6d7a-47f1-4f80-b317-172026082424/market=A/symbol=601012/adjust=hfq/metadata.json
daily:600438:raw,equity_daily,600438,A,raw,,success,PASS,5252,2004-03-02,2026-08-24,2004-03-02,complete_to_verified_listing_date,,,data/raw/stage17/equity_daily/run_id=3f2b6d7a-47f1-4f80-b317-172026082424/market=A/symbol=600438/adjust=raw/data.parquet,data/raw/stage17/equity_daily/run_id=3f2b6d7a-47f1-4f80-b317-172026082424/market=A/symbol=600438/adjust=raw/metadata.json
daily:600438:qfq,equity_daily,600438,A,qfq,,success,PASS,5252,2004-03-02,2026-08-24,2004-03-02,complete_to_verified_listing_date,,,data/raw/stage17/equity_daily/run_id=3f2b6d7a-47f1-4f80-b317-172026082424/market=A/symbol=600438/adjust=qfq/data.parquet,data/raw/stage17/equity_daily/run_id=3f2b6d7a-47f1-4f80-b317-172026082424/market=A/symbol=600438/adjust=qfq/metadata.json
daily:600438:hfq,equity_daily,600438,A,hfq,,success,PASS,5252,2004-03-02,2026-08-24,2004-03-02,complete_to_verified_listing_date,,,data/raw/stage17/equity_daily/run_id=3f2b6d7a-47f1-4f80-b317-172026082424/market=A/symbol=600438/adjust=hfq/data.parquet,data/raw/stage17/equity_daily/run_id=3f2b6d7a-47f1-4f80-b317-172026082424/market=A/symbol=600438/adjust=hfq/metadata.json
daily:002361:raw,equity_daily,002361,A,raw,,success,PASS,3900,2010-03-03,2026-08-24,2010-03-03,complete_to_verified_listing_date,,,data/raw/stage17/equity_daily/run_id=3f2b6d7a-47f1-4f80-b317-172026082424/market=A/symbol=002361/adjust=raw/data.parquet,data/raw/stage17/equity_daily/run_id=3f2b6d7a-47f1-4f80-b317-172026082424/market=A/symbol=002361/adjust=raw/metadata.json
daily:002361:qfq,equity_daily,002361,A,qfq,,failed,NOT_RUN,0,,,2010-03-03,history_unavailable,connection_error,"HTTPSConnectionPool(host='push2his.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/stock/kline/get?fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61%2Cf116&ut=7eea3",,
daily:002361:hfq,equity_daily,002361,A,hfq,,failed,NOT_RUN,0,,,2010-03-03,history_unavailable,connection_error,"HTTPSConnectionPool(host='push2his.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/stock/kline/get?fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61%2Cf116&ut=7eea3",,
daily:601500:raw,equity_daily,601500,A,raw,,failed,NOT_RUN,0,,,2016-09-19,history_unavailable,connection_error,"HTTPSConnectionPool(host='push2his.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/stock/kline/get?fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61%2Cf116&ut=7eea3",,
daily:601500:qfq,equity_daily,601500,A,qfq,,failed,NOT_RUN,0,,,2016-09-19,history_unavailable,connection_error,"HTTPSConnectionPool(host='push2his.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/stock/kline/get?fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61%2Cf116&ut=7eea3",,
daily:601500:hfq,equity_daily,601500,A,hfq,,failed,NOT_RUN,0,,,2016-09-19,history_unavailable,connection_error,"HTTPSConnectionPool(host='push2his.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/stock/kline/get?fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61%2Cf116&ut=7eea3",,
