input_layer,run_id,path,expected_size,actual_size,expected_sha256,actual_sha256,exists,readable,hash_match,status
stage3_raw,39a6996e-36d7-4b73-b0b8-c38da4ae672e,data/raw/stock_zh_a_hist/run_id=39a6996e-36d7-4b73-b0b8-c38da4ae672e/adjust=qfq/symbol=603799/data.parquet,48018,48018,2a7c5489d7a124f9bbed1974845987410aecf9d24a3826213e032208d2e29524,2a7c5489d7a124f9bbed1974845987410aecf9d24a3826213e032208d2e29524,True,True,True,PASS
stage3_raw,39a6996e-36d7-4b73-b0b8-c38da4ae672e,data/raw/stock_zh_a_hist/run_id=39a6996e-36d7-4b73-b0b8-c38da4ae672e/adjust=raw/symbol=000100/data.parquet,36594,36594,ae1f59578ff1a147e1513749fe6c5a983f711e97eaedc19bbd1a9f85ef24de77,ae1f59578ff1a147e1513749fe6c5a983f711e97eaedc19bbd1a9f85ef24de77,True,True,True,PASS
stage3_raw,39a6996e-36d7-4b73-b0b8-c38da4ae672e,data/raw/stock_zh_a_hist/run_id=39a6996e-36d7-4b73-b0b8-c38da4ae672e/adjust=raw/symbol=002067/data.parquet,39638,39638,36f2c687cd21fc01a406c60ff72f4f6fb69b059d776ed65fc638a341be18134b,36f2c687cd21fc01a406c60ff72f4f6fb69b059d776ed65fc638a341be18134b,True,True,True,PASS
stage3_raw,39a6996e-36d7-4b73-b0b8-c38da4ae672e,data/raw/stock_zh_a_hist/run_id=39a6996e-36d7-4b73-b0b8-c38da4ae672e/adjust=raw/symbol=002129/data.parquet,43725,43725,54e2329730380acb1f1a5bd5ca4f8e7814beb1a1b845f90348d9a4117d512f0e,54e2329730380acb1f1a5bd5ca4f8e7814beb1a1b845f90348d9a4117d512f0e,True,True,True,PASS
stage3_raw,39a6996e-36d7-4b73-b0b8-c38da4ae672e,data/raw/stock_zh_a_hist/run_id=39a6996e-36d7-4b73-b0b8-c38da4ae672e/adjust=raw/symbol=002230/data.parquet,47042,47042,97940323d717fe879e9d6fac07c0f0b243dd9e3f0a58041750790314f4e3fff4,97940323d717fe879e9d6fac07c0f0b243dd9e3f0a58041750790314f4e3fff4,True,True,True,PASS
stage3_raw,39a6996e-36d7-4b73-b0b8-c38da4ae672e,data/raw/stock_zh_a_hist/run_id=39a6996e-36d7-4b73-b0b8-c38da4ae672e/adjust=raw/symbol=002361/data.parquet,42919,42919,b807dce48c19735ab4e4055515e55fea8d8a726d4daaa1b576b45160e1fa6f1d,b807dce48c19735ab4e4055515e55fea8d8a726d4daaa1b576b45160e1fa6f1d,True,True,True,PASS
stage3_raw,39a6996e-36d7-4b73-b0b8-c38da4ae672e,data/raw/stock_zh_a_hist/run_id=39a6996e-36d7-4b73-b0b8-c38da4ae672e/adjust=raw/symbol=002600/data.parquet,44179,44179,fa7d9e92563856f55ef881e5dd6189691b1f02aed5387fb7150c9b6bd8e78b4a,fa7d9e92563856f55ef881e5dd6189691b1f02aed5387fb7150c9b6bd8e78b4a,True,True,True,PASS
stage3_raw,39a6996e-36d7-4b73-b0b8-c38da4ae672e,data/raw/stock_zh_a_hist/run_id=39a6996e-36d7-4b73-b0b8-c38da4ae672e/adjust=raw/symbol=300274/data.parquet,49515,49515,b7b5678c64a58fe7d6a03067ce2053798c2dd66e48de706003acc0d7619a538e,b7b5678c64a58fe7d6a03067ce2053798c2dd66e48de706003acc0d7619a538e,True,True,True,PASS
stage3_raw,39a6996e-36d7-4b73-b0b8-c38da4ae672e,data/raw/stock_zh_a_hist/run_id=39a6996e-36d7-4b73-b0b8-c38da4ae672e/adjust=raw/symbol=300433/data.parquet,46475,46475,0c2abf9054c87e4da2a0bffb7ea6e7852aee67d4d29b7830e2bc6ad0506e950b,0c2abf9054c87e4da2a0bffb7ea6e7852aee67d4d29b7830e2bc6ad0506e950b,True,True,True,PASS
stage3_raw,39a6996e-36d7-4b73-b0b8-c38da4ae672e,data/raw/stock_zh_a_hist/run_id=39a6996e-36d7-4b73-b0b8-c38da4ae672e/adjust=raw/symbol=600231/data.parquet,33493,33493,7fa80198802bb360de237859e1521066fff33d9c439d44029fcd2fd87eff519f,7fa80198802bb360de237859e1521066fff33d9c439d44029fcd2fd87eff519f,True,True,True,PASS
stage3_raw,39a6996e-36d7-4b73-b0b8-c38da4ae672e,data/raw/stock_zh_a_hist/run_id=39a6996e-36d7-4b73-b0b8-c38da4ae672e/adjust=raw/symbol=600438/data.parquet,44435,44435,5a8ab69cd8cabc7e67b653a77c94908972da5796a9858bbc61687a46328d5462,5a8ab69cd8cabc7e67b653a77c94908972da5796a9858bbc61687a46328d5462,True,True,True,PASS
stage3_raw,39a6996e-36d7-4b73-b0b8-c38da4ae672e,data/raw/stock_zh_a_hist/run_id=39a6996e-36d7-4b73-b0b8-c38da4ae672e/adjust=raw/symbol=600763/data.parquet,45980,45980,9ab4790d1de55f36609a55604e9e8500ca2205daa2c25497ce127b770fb48a58,9ab4790d1de55f36609a55604e9e8500ca2205daa2c25497ce127b770fb48a58,True,True,True,PASS
stage3_raw,39a6996e-36d7-4b73-b0b8-c38da4ae672e,data/raw/stock_zh_a_hist/run_id=39a6996e-36d7-4b73-b0b8-c38da4ae672e/adjust=raw/symbol=601012/data.parquet,44015,44015,18fbdd4e1bda265660d9f77582415c979f8806c794bf6c39fb3612d54ff8be17,18fbdd4e1bda265660d9f77582415c979f8806c794bf6c39fb3612d54ff8be17,True,True,True,PASS
stage3_raw,39a6996e-36d7-4b73-b0b8-c38da4ae672e,data/raw/stock_zh_a_hist/run_id=39a6996e-36d7-4b73-b0b8-c38da4ae672e/adjust=raw/symbol=601500/data.parquet,35972,35972,bdc6968ad9afae9715c1977144c10e450be71386a328e243a708eee28eb3ecbb,bdc6968ad9afae9715c1977144c10e450be71386a328e243a708eee28eb3ecbb,True,True,True,PASS
stage3_raw,39a6996e-36d7-4b73-b0b8-c38da4ae672e,data/raw/stock_zh_a_hist/run_id=39a6996e-36d7-4b73-b0b8-c38da4ae672e/adjust=raw/symbol=601636/data.parquet,38400,38400,061327834db3a726eaaf99e7f7a5556cfcdb6ad065ffe911c80788a5dd67066c,061327834db3a726eaaf99e7f7a5556cfcdb6ad065ffe911c80788a5dd67066c,True,True,True,PASS
stage3_raw,39a6996e-36d7-4b73-b0b8-c38da4ae672e,data/raw/stock_zh_a_hist/run_id=39a6996e-36d7-4b73-b0b8-c38da4ae672e/adjust=raw/symbol=603259/data.parquet,48397,48397,d2c3ae38acbb99d3e56a41f0cfbadb0e3c2e7448382fcc077be175b4758478b5,d2c3ae38acbb99d3e56a41f0cfbadb0e3c2e7448382fcc077be175b4758478b5,True,True,True,PASS
stage3_raw,39a6996e-36d7-4b73-b0b8-c38da4ae672e,data/raw/stock_zh_a_hist/run_id=39a6996e-36d7-4b73-b0b8-c38da4ae672e/adjust=raw/symbol=603799/data.parquet,47796,47796,838520a3f03ce896c59326aec3f6459f1cd40e8ee0d0fa338b005e524efd3d43,838520a3f03ce896c59326aec3f6459f1cd40e8ee0d0fa338b005e524efd3d43,True,True,True,PASS
stage3_raw,39a6996e-36d7-4b73-b0b8-c38da4ae672e,data/raw/stock_zh_a_spot_em/run_id=39a6996e-36d7-4b73-b0b8-c38da4ae672e/snapshot_date=2026-07-29/full_market.parquet,598226,598226,e128d6dc88e0ce8f9cddcdeb602358f600f2595662ab770b3c0d104b7d815185,e128d6dc88e0ce8f9cddcdeb602358f600f2595662ab770b3c0d104b7d815185,True,True,True,PASS
stage3_raw,39a6996e-36d7-4b73-b0b8-c38da4ae672e,data/raw/stock_zh_a_spot_em/run_id=39a6996e-36d7-4b73-b0b8-c38da4ae672e/snapshot_date=2026-07-29/target_16.parquet,17291,17291,13ac134db3c6b18b3b65e32ce2c30a869df572417600402a6c728e48d7e0eca1,13ac134db3c6b18b3b65e32ce2c30a869df572417600402a6c728e48d7e0eca1,True,True,True,PASS
stage4_raw,62bbe9df-6ed8-48d5-a06b-10fb90171ee0,data/raw/stock_balance_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=000100/data.parquet,293957,293957,f161f12f99090996cde81bce019406a6e3d697fc2a69488a3b6e0a81e57a40b0,f161f12f99090996cde81bce019406a6e3d697fc2a69488a3b6e0a81e57a40b0,True,True,True,PASS
stage4_raw,62bbe9df-6ed8-48d5-a06b-10fb90171ee0,data/raw/stock_balance_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=002067/data.parquet,256447,256447,ffde58844351b337d436d69924c253035975ffad2c2ebb4ed2f63398e2546fda,ffde58844351b337d436d69924c253035975ffad2c2ebb4ed2f63398e2546fda,True,True,True,PASS
stage4_raw,62bbe9df-6ed8-48d5-a06b-10fb90171ee0,data/raw/stock_balance_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=002129/data.parquet,266040,266040,bd06972c56b0ef3922e7e015064499da44f6c98cce1c08856f3d06918f7b28c8,bd06972c56b0ef3922e7e015064499da44f6c98cce1c08856f3d06918f7b28c8,True,True,True,PASS
stage4_raw,62bbe9df-6ed8-48d5-a06b-10fb90171ee0,data/raw/stock_balance_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=002230/data.parquet,258225,258225,d1973337c76bf21b8836b7910c805faee017fb0dc1a71b50b033522a7b449d8b,d1973337c76bf21b8836b7910c805faee017fb0dc1a71b50b033522a7b449d8b,True,True,True,PASS
stage4_raw,62bbe9df-6ed8-48d5-a06b-10fb90171ee0,data/raw/stock_balance_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=002361/data.parquet,241268,241268,8b1e6d5e98d63aa8c60e8f798d7815ece63cd7a8a2d15fbedd2a4915bd67aec4,8b1e6d5e98d63aa8c60e8f798d7815ece63cd7a8a2d15fbedd2a4915bd67aec4,True,True,True,PASS
stage4_raw,62bbe9df-6ed8-48d5-a06b-10fb90171ee0,data/raw/stock_balance_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=002600/data.parquet,249826,249826,0fdd787d381a681a4f5fc0027429622fabec366fb712517f0c46fd46bcae43e7,0fdd787d381a681a4f5fc0027429622fabec366fb712517f0c46fd46bcae43e7,True,True,True,PASS
stage4_raw,62bbe9df-6ed8-48d5-a06b-10fb90171ee0,data/raw/stock_balance_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=300274/data.parquet,244530,244530,3e387cda9d34608bbc999cccd4b6f68ff59677b3e54e98a1fd3feffbc6a5cb85,3e387cda9d34608bbc999cccd4b6f68ff59677b3e54e98a1fd3feffbc6a5cb85,True,True,True,PASS
stage4_raw,62bbe9df-6ed8-48d5-a06b-10fb90171ee0,data/raw/stock_balance_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=300433/data.parquet,236350,236350,103becde25a39a1c73785ddf5bb7e95b724852633b0bee6e9bddc4851745cda9,103becde25a39a1c73785ddf5bb7e95b724852633b0bee6e9bddc4851745cda9,True,True,True,PASS
stage4_raw,62bbe9df-6ed8-48d5-a06b-10fb90171ee0,data/raw/stock_balance_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=600231/data.parquet,273743,273743,3dff36290fb9aa85365534f175ff9ecbfd0901430cbbe2c57c22d1b0a1afed88,3dff36290fb9aa85365534f175ff9ecbfd0901430cbbe2c57c22d1b0a1afed88,True,True,True,PASS
stage4_raw,62bbe9df-6ed8-48d5-a06b-10fb90171ee0,data/raw/stock_balance_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=600438/data.parquet,278626,278626,585df03d616e146ab04df7dd59e9929557b7c5117f4af681c844fed4cb98902a,585df03d616e146ab04df7dd59e9929557b7c5117f4af681c844fed4cb98902a,True,True,True,PASS
stage4_raw,62bbe9df-6ed8-48d5-a06b-10fb90171ee0,data/raw/stock_balance_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=600763/data.parquet,260921,260921,b80a7c775278ecfd5787c7c5848d303004716b6dd31f4a432eb8c5a84c48b81a,b80a7c775278ecfd5787c7c5848d303004716b6dd31f4a432eb8c5a84c48b81a,True,True,True,PASS
