run_id,symbol,interface_id,coverage_status,coverage_row_count,raw_path,manifest_entry_count,raw_validation_status,repair_task,validation_status
62bbe9df-6ed8-48d5-a06b-10fb90171ee0,000100,balance_sheet_report,success,94,data/raw/stock_balance_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=000100/data.parquet,1,PASS,True,PASS
62bbe9df-6ed8-48d5-a06b-10fb90171ee0,000100,cashflow_sheet_report,success,92,data/raw/stock_cash_flow_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=000100/data.parquet,1,PASS,True,PASS
62bbe9df-6ed8-48d5-a06b-10fb90171ee0,000100,financial_abstract,success,80,data/raw/stock_financial_abstract/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=000100/data.parquet,1,PASS,False,PASS
62bbe9df-6ed8-48d5-a06b-10fb90171ee0,000100,financial_indicator,success,21,data/raw/stock_financial_analysis_indicator/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=000100/data.parquet,1,PASS,True,PASS
62bbe9df-6ed8-48d5-a06b-10fb90171ee0,000100,individual_fund_flow,success,120,data/raw/stock_individual_fund_flow/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=000100/data.parquet,1,PASS,False,PASS
62bbe9df-6ed8-48d5-a06b-10fb90171ee0,000100,profit_sheet_report,success,96,data/raw/stock_profit_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=000100/data.parquet,1,PASS,True,PASS
62bbe9df-6ed8-48d5-a06b-10fb90171ee0,002067,balance_sheet_report,success,83,data/raw/stock_balance_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=002067/data.parquet,1,PASS,False,PASS
62bbe9df-6ed8-48d5-a06b-10fb90171ee0,002067,cashflow_sheet_report,success,84,data/raw/stock_cash_flow_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=002067/data.parquet,1,PASS,False,PASS
62bbe9df-6ed8-48d5-a06b-10fb90171ee0,002067,financial_abstract,success,80,data/raw/stock_financial_abstract/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=002067/data.parquet,1,PASS,False,PASS
62bbe9df-6ed8-48d5-a06b-10fb90171ee0,002067,financial_indicator,success,21,data/raw/stock_financial_analysis_indicator/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=002067/data.parquet,1,PASS,False,PASS
62bbe9df-6ed8-48d5-a06b-10fb90171ee0,002067,individual_fund_flow,success,120,data/raw/stock_individual_fund_flow/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=002067/data.parquet,1,PASS,False,PASS
62bbe9df-6ed8-48d5-a06b-10fb90171ee0,002067,profit_sheet_report,success,85,data/raw/stock_profit_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=002067/data.parquet,1,PASS,False,PASS
62bbe9df-6ed8-48d5-a06b-10fb90171ee0,002129,balance_sheet_report,success,80,data/raw/stock_balance_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=002129/data.parquet,1,PASS,True,PASS
62bbe9df-6ed8-48d5-a06b-10fb90171ee0,002129,cashflow_sheet_report,success,83,data/raw/stock_cash_flow_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=002129/data.parquet,1,PASS,True,PASS
62bbe9df-6ed8-48d5-a06b-10fb90171ee0,002129,financial_abstract,success,80,data/raw/stock_financial_abstract/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=002129/data.parquet,1,PASS,False,PASS
62bbe9df-6ed8-48d5-a06b-10fb90171ee0,002129,financial_indicator,success,21,data/raw/stock_financial_analysis_indicator/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=002129/data.parquet,1,PASS,True,PASS
62bbe9df-6ed8-48d5-a06b-10fb90171ee0,002129,individual_fund_flow,success,120,data/raw/stock_individual_fund_flow/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=002129/data.parquet,1,PASS,False,PASS
62bbe9df-6ed8-48d5-a06b-10fb90171ee0,002129,profit_sheet_report,success,83,data/raw/stock_profit_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=002129/data.parquet,1,PASS,True,PASS
62bbe9df-6ed8-48d5-a06b-10fb90171ee0,002230,balance_sheet_report,success,76,data/raw/stock_balance_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=002230/data.parquet,1,PASS,False,PASS
62bbe9df-6ed8-48d5-a06b-10fb90171ee0,002230,cashflow_sheet_report,success,79,data/raw/stock_cash_flow_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=002230/data.parquet,1,PASS,False,PASS
62bbe9df-6ed8-48d5-a06b-10fb90171ee0,002230,financial_abstract,success,80,data/raw/stock_financial_abstract/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=002230/data.parquet,1,PASS,False,PASS
62bbe9df-6ed8-48d5-a06b-10fb90171ee0,002230,financial_indicator,success,21,data/raw/stock_financial_analysis_indicator/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=002230/data.parquet,1,PASS,False,PASS
62bbe9df-6ed8-48d5-a06b-10fb90171ee0,002230,individual_fund_flow,success,120,data/raw/stock_individual_fund_flow/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=002230/data.parquet,1,PASS,False,PASS
62bbe9df-6ed8-48d5-a06b-10fb90171ee0,002230,profit_sheet_report,success,79,data/raw/stock_profit_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=002230/data.parquet,1,PASS,False,PASS
62bbe9df-6ed8-48d5-a06b-10fb90171ee0,002361,balance_sheet_report,success,70,data/raw/stock_balance_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=002361/data.parquet,1,PASS,False,PASS
