stage,manifest,kind,path,expected_size,actual_size,expected_sha256,actual_sha256,size_match,sha256_match,status
3,reports/evidence/stage3/39a6996e-36d7-4b73-b0b8-c38da4ae672e/manifest.json,raw,data/raw/stock_zh_a_hist/run_id=39a6996e-36d7-4b73-b0b8-c38da4ae672e/adjust=qfq/symbol=000100/data.parquet,36719,36719,893efa97345ad315d5997bd2292c67cfdf0d3a9007f4228d6bbf60ea858395ec,893efa97345ad315d5997bd2292c67cfdf0d3a9007f4228d6bbf60ea858395ec,True,True,PASS
3,reports/evidence/stage3/39a6996e-36d7-4b73-b0b8-c38da4ae672e/manifest.json,raw,data/raw/stock_zh_a_hist/run_id=39a6996e-36d7-4b73-b0b8-c38da4ae672e/adjust=qfq/symbol=002067/data.parquet,39745,39745,993ce90145d8d64927c87a0c4d145b2bb9278669f8ae36d650d321551aee0cea,993ce90145d8d64927c87a0c4d145b2bb9278669f8ae36d650d321551aee0cea,True,True,PASS
3,reports/evidence/stage3/39a6996e-36d7-4b73-b0b8-c38da4ae672e/manifest.json,raw,data/raw/stock_zh_a_hist/run_id=39a6996e-36d7-4b73-b0b8-c38da4ae672e/adjust=qfq/symbol=002129/data.parquet,43563,43563,cb2393df466348504e79e4a147565611fe6ae2612872b6438a52d203b93a253e,cb2393df466348504e79e4a147565611fe6ae2612872b6438a52d203b93a253e,True,True,PASS
3,reports/evidence/stage3/39a6996e-36d7-4b73-b0b8-c38da4ae672e/manifest.json,raw,data/raw/stock_zh_a_hist/run_id=39a6996e-36d7-4b73-b0b8-c38da4ae672e/adjust=qfq/symbol=002230/data.parquet,47155,47155,237ef3785e0487a88749f8d7fadb66312d0143091b9ab99226f393bd07c4df49,237ef3785e0487a88749f8d7fadb66312d0143091b9ab99226f393bd07c4df49,True,True,PASS
3,reports/evidence/stage3/39a6996e-36d7-4b73-b0b8-c38da4ae672e/manifest.json,raw,data/raw/stock_zh_a_hist/run_id=39a6996e-36d7-4b73-b0b8-c38da4ae672e/adjust=qfq/symbol=002361/data.parquet,42985,42985,49352574b4d34a22c0338c978509ca1f69f896fd31a5ed0ed2829324d15a69fd,49352574b4d34a22c0338c978509ca1f69f896fd31a5ed0ed2829324d15a69fd,True,True,PASS
3,reports/evidence/stage3/39a6996e-36d7-4b73-b0b8-c38da4ae672e/manifest.json,raw,data/raw/stock_zh_a_hist/run_id=39a6996e-36d7-4b73-b0b8-c38da4ae672e/adjust=qfq/symbol=002600/data.parquet,44210,44210,ad43514104f3034171b21c3c53d7a9bbaff9bca17eb59814ff34020a11a7d4fd,ad43514104f3034171b21c3c53d7a9bbaff9bca17eb59814ff34020a11a7d4fd,True,True,PASS
3,reports/evidence/stage3/39a6996e-36d7-4b73-b0b8-c38da4ae672e/manifest.json,raw,data/raw/stock_zh_a_hist/run_id=39a6996e-36d7-4b73-b0b8-c38da4ae672e/adjust=qfq/symbol=300274/data.parquet,49503,49503,b0eecae5396f05a8b1a9c60eb76658149f279454e2ea9163c75e95baadc77840,b0eecae5396f05a8b1a9c60eb76658149f279454e2ea9163c75e95baadc77840,True,True,PASS
3,reports/evidence/stage3/39a6996e-36d7-4b73-b0b8-c38da4ae672e/manifest.json,raw,data/raw/stock_zh_a_hist/run_id=39a6996e-36d7-4b73-b0b8-c38da4ae672e/adjust=qfq/symbol=300433/data.parquet,46584,46584,530e03d7d6149ace22d29dcabb7e76016def5130790039a90f5d8afcb4a868b0,530e03d7d6149ace22d29dcabb7e76016def5130790039a90f5d8afcb4a868b0,True,True,PASS
3,reports/evidence/stage3/39a6996e-36d7-4b73-b0b8-c38da4ae672e/manifest.json,raw,data/raw/stock_zh_a_hist/run_id=39a6996e-36d7-4b73-b0b8-c38da4ae672e/adjust=qfq/symbol=600231/data.parquet,33493,33493,7fa80198802bb360de237859e1521066fff33d9c439d44029fcd2fd87eff519f,7fa80198802bb360de237859e1521066fff33d9c439d44029fcd2fd87eff519f,True,True,PASS
3,reports/evidence/stage3/39a6996e-36d7-4b73-b0b8-c38da4ae672e/manifest.json,raw,data/raw/stock_zh_a_hist/run_id=39a6996e-36d7-4b73-b0b8-c38da4ae672e/adjust=qfq/symbol=600438/data.parquet,44338,44338,0a9c1623e4e22b8a28d45a7898a6c825b70cb1aac0aef2d2c03e77d857df113a,0a9c1623e4e22b8a28d45a7898a6c825b70cb1aac0aef2d2c03e77d857df113a,True,True,PASS
3,reports/evidence/stage3/39a6996e-36d7-4b73-b0b8-c38da4ae672e/manifest.json,raw,data/raw/stock_zh_a_hist/run_id=39a6996e-36d7-4b73-b0b8-c38da4ae672e/adjust=qfq/symbol=600763/data.parquet,45110,45110,6c799797da42bd399391aeddcd6290b4f9e03677899e6dbdff9a5456877c5922,6c799797da42bd399391aeddcd6290b4f9e03677899e6dbdff9a5456877c5922,True,True,PASS
3,reports/evidence/stage3/39a6996e-36d7-4b73-b0b8-c38da4ae672e/manifest.json,raw,data/raw/stock_zh_a_hist/run_id=39a6996e-36d7-4b73-b0b8-c38da4ae672e/adjust=qfq/symbol=601012/data.parquet,44288,44288,020ca90eb362af79ab6b21a8cf583247f960e4290fa865ae98a3333937892295,020ca90eb362af79ab6b21a8cf583247f960e4290fa865ae98a3333937892295,True,True,PASS
3,reports/evidence/stage3/39a6996e-36d7-4b73-b0b8-c38da4ae672e/manifest.json,raw,data/raw/stock_zh_a_hist/run_id=39a6996e-36d7-4b73-b0b8-c38da4ae672e/adjust=qfq/symbol=601500/data.parquet,36063,36063,0d3496f8bdfe9ee66108b59d6dc7517891d5c44a93314292df51b799d86270ae,0d3496f8bdfe9ee66108b59d6dc7517891d5c44a93314292df51b799d86270ae,True,True,PASS
3,reports/evidence/stage3/39a6996e-36d7-4b73-b0b8-c38da4ae672e/manifest.json,raw,data/raw/stock_zh_a_hist/run_id=39a6996e-36d7-4b73-b0b8-c38da4ae672e/adjust=qfq/symbol=601636/data.parquet,38053,38053,9611b211abc25bd96a6cad4db2fd52228dea024ae977ccf66002558f75befc7e,9611b211abc25bd96a6cad4db2fd52228dea024ae977ccf66002558f75befc7e,True,True,PASS
3,reports/evidence/stage3/39a6996e-36d7-4b73-b0b8-c38da4ae672e/manifest.json,raw,data/raw/stock_zh_a_hist/run_id=39a6996e-36d7-4b73-b0b8-c38da4ae672e/adjust=qfq/symbol=603259/data.parquet,48742,48742,cb1fde33a4614e1ebd72e5d4aae634955a2bf3830af29bb97be595a0d64beda2,cb1fde33a4614e1ebd72e5d4aae634955a2bf3830af29bb97be595a0d64beda2,True,True,PASS
3,reports/evidence/stage3/39a6996e-36d7-4b73-b0b8-c38da4ae672e/manifest.json,raw,data/raw/stock_zh_a_hist/run_id=39a6996e-36d7-4b73-b0b8-c38da4ae672e/adjust=qfq/symbol=603799/data.parquet,48018,48018,2a7c5489d7a124f9bbed1974845987410aecf9d24a3826213e032208d2e29524,2a7c5489d7a124f9bbed1974845987410aecf9d24a3826213e032208d2e29524,True,True,PASS
3,reports/evidence/stage3/39a6996e-36d7-4b73-b0b8-c38da4ae672e/manifest.json,raw,data/raw/stock_zh_a_hist/run_id=39a6996e-36d7-4b73-b0b8-c38da4ae672e/adjust=raw/symbol=000100/data.parquet,36594,36594,ae1f59578ff1a147e1513749fe6c5a983f711e97eaedc19bbd1a9f85ef24de77,ae1f59578ff1a147e1513749fe6c5a983f711e97eaedc19bbd1a9f85ef24de77,True,True,PASS
3,reports/evidence/stage3/39a6996e-36d7-4b73-b0b8-c38da4ae672e/manifest.json,raw,data/raw/stock_zh_a_hist/run_id=39a6996e-36d7-4b73-b0b8-c38da4ae672e/adjust=raw/symbol=002067/data.parquet,39638,39638,36f2c687cd21fc01a406c60ff72f4f6fb69b059d776ed65fc638a341be18134b,36f2c687cd21fc01a406c60ff72f4f6fb69b059d776ed65fc638a341be18134b,True,True,PASS
3,reports/evidence/stage3/39a6996e-36d7-4b73-b0b8-c38da4ae672e/manifest.json,raw,data/raw/stock_zh_a_hist/run_id=39a6996e-36d7-4b73-b0b8-c38da4ae672e/adjust=raw/symbol=002129/data.parquet,43725,43725,54e2329730380acb1f1a5bd5ca4f8e7814beb1a1b845f90348d9a4117d512f0e,54e2329730380acb1f1a5bd5ca4f8e7814beb1a1b845f90348d9a4117d512f0e,True,True,PASS
3,reports/evidence/stage3/39a6996e-36d7-4b73-b0b8-c38da4ae672e/manifest.json,raw,data/raw/stock_zh_a_hist/run_id=39a6996e-36d7-4b73-b0b8-c38da4ae672e/adjust=raw/symbol=002230/data.parquet,47042,47042,97940323d717fe879e9d6fac07c0f0b243dd9e3f0a58041750790314f4e3fff4,97940323d717fe879e9d6fac07c0f0b243dd9e3f0a58041750790314f4e3fff4,True,True,PASS
3,reports/evidence/stage3/39a6996e-36d7-4b73-b0b8-c38da4ae672e/manifest.json,raw,data/raw/stock_zh_a_hist/run_id=39a6996e-36d7-4b73-b0b8-c38da4ae672e/adjust=raw/symbol=002361/data.parquet,42919,42919,b807dce48c19735ab4e4055515e55fea8d8a726d4daaa1b576b45160e1fa6f1d,b807dce48c19735ab4e4055515e55fea8d8a726d4daaa1b576b45160e1fa6f1d,True,True,PASS
3,reports/evidence/stage3/39a6996e-36d7-4b73-b0b8-c38da4ae672e/manifest.json,raw,data/raw/stock_zh_a_hist/run_id=39a6996e-36d7-4b73-b0b8-c38da4ae672e/adjust=raw/symbol=002600/data.parquet,44179,44179,fa7d9e92563856f55ef881e5dd6189691b1f02aed5387fb7150c9b6bd8e78b4a,fa7d9e92563856f55ef881e5dd6189691b1f02aed5387fb7150c9b6bd8e78b4a,True,True,PASS
3,reports/evidence/stage3/39a6996e-36d7-4b73-b0b8-c38da4ae672e/manifest.json,raw,data/raw/stock_zh_a_hist/run_id=39a6996e-36d7-4b73-b0b8-c38da4ae672e/adjust=raw/symbol=300274/data.parquet,49515,49515,b7b5678c64a58fe7d6a03067ce2053798c2dd66e48de706003acc0d7619a538e,b7b5678c64a58fe7d6a03067ce2053798c2dd66e48de706003acc0d7619a538e,True,True,PASS
3,reports/evidence/stage3/39a6996e-36d7-4b73-b0b8-c38da4ae672e/manifest.json,raw,data/raw/stock_zh_a_hist/run_id=39a6996e-36d7-4b73-b0b8-c38da4ae672e/adjust=raw/symbol=300433/data.parquet,46475,46475,0c2abf9054c87e4da2a0bffb7ea6e7852aee67d4d29b7830e2bc6ad0506e950b,0c2abf9054c87e4da2a0bffb7ea6e7852aee67d4d29b7830e2bc6ad0506e950b,True,True,PASS
3,reports/evidence/stage3/39a6996e-36d7-4b73-b0b8-c38da4ae672e/manifest.json,raw,data/raw/stock_zh_a_hist/run_id=39a6996e-36d7-4b73-b0b8-c38da4ae672e/adjust=raw/symbol=600231/data.parquet,33493,33493,7fa80198802bb360de237859e1521066fff33d9c439d44029fcd2fd87eff519f,7fa80198802bb360de237859e1521066fff33d9c439d44029fcd2fd87eff519f,True,True,PASS
3,reports/evidence/stage3/39a6996e-36d7-4b73-b0b8-c38da4ae672e/manifest.json,raw,data/raw/stock_zh_a_hist/run_id=39a6996e-36d7-4b73-b0b8-c38da4ae672e/adjust=raw/symbol=600438/data.parquet,44435,44435,5a8ab69cd8cabc7e67b653a77c94908972da5796a9858bbc61687a46328d5462,5a8ab69cd8cabc7e67b653a77c94908972da5796a9858bbc61687a46328d5462,True,True,PASS
3,reports/evidence/stage3/39a6996e-36d7-4b73-b0b8-c38da4ae672e/manifest.json,raw,data/raw/stock_zh_a_hist/run_id=39a6996e-36d7-4b73-b0b8-c38da4ae672e/adjust=raw/symbol=600763/data.parquet,45980,45980,9ab4790d1de55f36609a55604e9e8500ca2205daa2c25497ce127b770fb48a58,9ab4790d1de55f36609a55604e9e8500ca2205daa2c25497ce127b770fb48a58,True,True,PASS
3,reports/evidence/stage3/39a6996e-36d7-4b73-b0b8-c38da4ae672e/manifest.json,raw,data/raw/stock_zh_a_hist/run_id=39a6996e-36d7-4b73-b0b8-c38da4ae672e/adjust=raw/symbol=601012/data.parquet,44015,44015,18fbdd4e1bda265660d9f77582415c979f8806c794bf6c39fb3612d54ff8be17,18fbdd4e1bda265660d9f77582415c979f8806c794bf6c39fb3612d54ff8be17,True,True,PASS
3,reports/evidence/stage3/39a6996e-36d7-4b73-b0b8-c38da4ae672e/manifest.json,raw,data/raw/stock_zh_a_hist/run_id=39a6996e-36d7-4b73-b0b8-c38da4ae672e/adjust=raw/symbol=601500/data.parquet,35972,35972,bdc6968ad9afae9715c1977144c10e450be71386a328e243a708eee28eb3ecbb,bdc6968ad9afae9715c1977144c10e450be71386a328e243a708eee28eb3ecbb,True,True,PASS
3,reports/evidence/stage3/39a6996e-36d7-4b73-b0b8-c38da4ae672e/manifest.json,raw,data/raw/stock_zh_a_hist/run_id=39a6996e-36d7-4b73-b0b8-c38da4ae672e/adjust=raw/symbol=601636/data.parquet,38400,38400,061327834db3a726eaaf99e7f7a5556cfcdb6ad065ffe911c80788a5dd67066c,061327834db3a726eaaf99e7f7a5556cfcdb6ad065ffe911c80788a5dd67066c,True,True,PASS
3,reports/evidence/stage3/39a6996e-36d7-4b73-b0b8-c38da4ae672e/manifest.json,raw,data/raw/stock_zh_a_hist/run_id=39a6996e-36d7-4b73-b0b8-c38da4ae672e/adjust=raw/symbol=603259/data.parquet,48397,48397,d2c3ae38acbb99d3e56a41f0cfbadb0e3c2e7448382fcc077be175b4758478b5,d2c3ae38acbb99d3e56a41f0cfbadb0e3c2e7448382fcc077be175b4758478b5,True,True,PASS
3,reports/evidence/stage3/39a6996e-36d7-4b73-b0b8-c38da4ae672e/manifest.json,raw,data/raw/stock_zh_a_hist/run_id=39a6996e-36d7-4b73-b0b8-c38da4ae672e/adjust=raw/symbol=603799/data.parquet,47796,47796,838520a3f03ce896c59326aec3f6459f1cd40e8ee0d0fa338b005e524efd3d43,838520a3f03ce896c59326aec3f6459f1cd40e8ee0d0fa338b005e524efd3d43,True,True,PASS
