feature_group,relative_path,first_sha256,second_sha256,first_size,second_size,hash_match,size_match,second_action,status
price_daily,feature/price_daily/feature_run_id=48af48ca-2707-4c53-ad51-745a17b6295d/data.parquet,6855ab65b8ddb33446411624ca5339e712b8f97248ee4ca2fccd67f2595d4198,6855ab65b8ddb33446411624ca5339e712b8f97248ee4ca2fccd67f2595d4198,868718,868718,True,True,reused,PASS
trend_daily,feature/trend_daily/feature_run_id=48af48ca-2707-4c53-ad51-745a17b6295d/data.parquet,2f15ca7b559269c0d908c8371a6d2a0bbcfe9611230a4b2a8d6655049c5543a7,2f15ca7b559269c0d908c8371a6d2a0bbcfe9611230a4b2a8d6655049c5543a7,562341,562341,True,True,reused,PASS
activity_daily,feature/activity_daily/feature_run_id=48af48ca-2707-4c53-ad51-745a17b6295d/data.parquet,34ac8115b8456b66f43667bb6920f7269c5174ac7db228d043bc7ebf4eefd103,34ac8115b8456b66f43667bb6920f7269c5174ac7db228d043bc7ebf4eefd103,339856,339856,True,True,reused,PASS
limit_event,feature/limit_event/feature_run_id=48af48ca-2707-4c53-ad51-745a17b6295d/data.parquet,1b1fcb7ecd55096112b3bea1ad2f472342a32a218495325a1f6f34a51db9a12e,1b1fcb7ecd55096112b3bea1ad2f472342a32a218495325a1f6f34a51db9a12e,82837,82837,True,True,reused,PASS
financial_period,feature/financial_period/feature_run_id=48af48ca-2707-4c53-ad51-745a17b6295d/data.parquet,50d0704e4fe531af0df5005580e2e9381bf23c8f19f22da96d8c40e698ebf929,50d0704e4fe531af0df5005580e2e9381bf23c8f19f22da96d8c40e698ebf929,33487,33487,True,True,reused,PASS
fund_flow_daily,feature/fund_flow_daily/feature_run_id=48af48ca-2707-4c53-ad51-745a17b6295d/data.parquet,2e7c3ffe7e1e9cbee537da34d279b69ff0c44a111f87b823924899047393cc8a,2e7c3ffe7e1e9cbee537da34d279b69ff0c44a111f87b823924899047393cc8a,34436,34436,True,True,reused,PASS
style_daily,feature/style_daily/feature_run_id=48af48ca-2707-4c53-ad51-745a17b6295d/data.parquet,6030d6b0714c4944a9a4c5d1530ced638fe91219c580dd064ca7ad4814a0872a,6030d6b0714c4944a9a4c5d1530ced638fe91219c580dd064ca7ad4814a0872a,1833579,1833579,True,True,reused,PASS
suspected_behavior_evidence,feature/suspected_behavior_evidence/feature_run_id=48af48ca-2707-4c53-ad51-745a17b6295d/data.parquet,4bae49cf0f6bf468e5a1c2be53ff88bd1f40e50e4e447cbd1e7f9d547099cc74,4bae49cf0f6bf468e5a1c2be53ff88bd1f40e50e4e447cbd1e7f9d547099cc74,10866,10866,True,True,reused,PASS
current_snapshot,feature/current_snapshot/feature_run_id=48af48ca-2707-4c53-ad51-745a17b6295d/data.parquet,5ca9cc259e9ac71e7391852ede638a14fbc32854b949f207e06385f748496cc4,5ca9cc259e9ac71e7391852ede638a14fbc32854b949f207e06385f748496cc4,9925,9925,True,True,reused,PASS
