run_id,symbol,interface_id,report_period,announcement_date,as_of_date,potential_lookahead,announcement_date_status,raw_path,notes
62bbe9df-6ed8-48d5-a06b-10fb90171ee0,002067,balance_sheet_report,2021-09-30,2021-10-30,2026-07-27,False,available,data/raw/stock_balance_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=002067/data.parquet,
62bbe9df-6ed8-48d5-a06b-10fb90171ee0,002067,balance_sheet_report,2021-06-30,2021-08-31,2026-07-27,False,available,data/raw/stock_balance_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=002067/data.parquet,
62bbe9df-6ed8-48d5-a06b-10fb90171ee0,002067,balance_sheet_report,2021-03-31,2021-04-29,2026-07-27,False,available,data/raw/stock_balance_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=002067/data.parquet,
62bbe9df-6ed8-48d5-a06b-10fb90171ee0,002067,balance_sheet_report,2020-12-31,2021-04-22,2026-07-27,False,available,data/raw/stock_balance_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=002067/data.parquet,
62bbe9df-6ed8-48d5-a06b-10fb90171ee0,002067,balance_sheet_report,2020-09-30,2020-10-31,2026-07-27,False,available,data/raw/stock_balance_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=002067/data.parquet,
62bbe9df-6ed8-48d5-a06b-10fb90171ee0,002067,balance_sheet_report,2020-06-30,2020-08-31,2026-07-27,False,available,data/raw/stock_balance_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=002067/data.parquet,
62bbe9df-6ed8-48d5-a06b-10fb90171ee0,002067,balance_sheet_report,2020-03-31,2020-04-25,2026-07-27,False,available,data/raw/stock_balance_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=002067/data.parquet,
62bbe9df-6ed8-48d5-a06b-10fb90171ee0,002067,balance_sheet_report,2019-12-31,2020-04-03,2026-07-27,False,available,data/raw/stock_balance_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=002067/data.parquet,
62bbe9df-6ed8-48d5-a06b-10fb90171ee0,002067,balance_sheet_report,2019-09-30,2019-10-30,2026-07-27,False,available,data/raw/stock_balance_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=002067/data.parquet,
62bbe9df-6ed8-48d5-a06b-10fb90171ee0,002067,balance_sheet_report,2019-06-30,2019-08-30,2026-07-27,False,available,data/raw/stock_balance_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=002067/data.parquet,
62bbe9df-6ed8-48d5-a06b-10fb90171ee0,002067,balance_sheet_report,2019-03-31,2019-04-27,2026-07-27,False,available,data/raw/stock_balance_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=002067/data.parquet,
62bbe9df-6ed8-48d5-a06b-10fb90171ee0,002067,balance_sheet_report,2018-12-31,2019-04-27,2026-07-27,False,available,data/raw/stock_balance_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=002067/data.parquet,
62bbe9df-6ed8-48d5-a06b-10fb90171ee0,002067,balance_sheet_report,2018-09-30,2018-10-23,2026-07-27,False,available,data/raw/stock_balance_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=002067/data.parquet,
