artifact_group,path,expected_sha256,actual_sha256,size,hash_match,status
stage3_raw,data/raw/stock_zh_a_hist/run_id=39a6996e-36d7-4b73-b0b8-c38da4ae672e/adjust=raw/symbol=002067/data.parquet,36f2c687cd21fc01a406c60ff72f4f6fb69b059d776ed65fc638a341be18134b,36f2c687cd21fc01a406c60ff72f4f6fb69b059d776ed65fc638a341be18134b,39638,True,PASS
stage3_raw,data/raw/stock_zh_a_hist/run_id=39a6996e-36d7-4b73-b0b8-c38da4ae672e/adjust=raw/symbol=002129/data.parquet,54e2329730380acb1f1a5bd5ca4f8e7814beb1a1b845f90348d9a4117d512f0e,54e2329730380acb1f1a5bd5ca4f8e7814beb1a1b845f90348d9a4117d512f0e,43725,True,PASS
stage3_raw,data/raw/stock_zh_a_hist/run_id=39a6996e-36d7-4b73-b0b8-c38da4ae672e/adjust=raw/symbol=002230/data.parquet,97940323d717fe879e9d6fac07c0f0b243dd9e3f0a58041750790314f4e3fff4,97940323d717fe879e9d6fac07c0f0b243dd9e3f0a58041750790314f4e3fff4,47042,True,PASS
stage3_raw,data/raw/stock_zh_a_hist/run_id=39a6996e-36d7-4b73-b0b8-c38da4ae672e/adjust=raw/symbol=002361/data.parquet,b807dce48c19735ab4e4055515e55fea8d8a726d4daaa1b576b45160e1fa6f1d,b807dce48c19735ab4e4055515e55fea8d8a726d4daaa1b576b45160e1fa6f1d,42919,True,PASS
stage3_raw,data/raw/stock_zh_a_hist/run_id=39a6996e-36d7-4b73-b0b8-c38da4ae672e/adjust=raw/symbol=002600/data.parquet,fa7d9e92563856f55ef881e5dd6189691b1f02aed5387fb7150c9b6bd8e78b4a,fa7d9e92563856f55ef881e5dd6189691b1f02aed5387fb7150c9b6bd8e78b4a,44179,True,PASS
stage3_raw,data/raw/stock_zh_a_hist/run_id=39a6996e-36d7-4b73-b0b8-c38da4ae672e/adjust=raw/symbol=300274/data.parquet,b7b5678c64a58fe7d6a03067ce2053798c2dd66e48de706003acc0d7619a538e,b7b5678c64a58fe7d6a03067ce2053798c2dd66e48de706003acc0d7619a538e,49515,True,PASS
stage3_raw,data/raw/stock_zh_a_hist/run_id=39a6996e-36d7-4b73-b0b8-c38da4ae672e/adjust=raw/symbol=300433/data.parquet,0c2abf9054c87e4da2a0bffb7ea6e7852aee67d4d29b7830e2bc6ad0506e950b,0c2abf9054c87e4da2a0bffb7ea6e7852aee67d4d29b7830e2bc6ad0506e950b,46475,True,PASS
stage3_raw,data/raw/stock_zh_a_hist/run_id=39a6996e-36d7-4b73-b0b8-c38da4ae672e/adjust=raw/symbol=600231/data.parquet,7fa80198802bb360de237859e1521066fff33d9c439d44029fcd2fd87eff519f,7fa80198802bb360de237859e1521066fff33d9c439d44029fcd2fd87eff519f,33493,True,PASS
stage3_raw,data/raw/stock_zh_a_hist/run_id=39a6996e-36d7-4b73-b0b8-c38da4ae672e/adjust=raw/symbol=600438/data.parquet,5a8ab69cd8cabc7e67b653a77c94908972da5796a9858bbc61687a46328d5462,5a8ab69cd8cabc7e67b653a77c94908972da5796a9858bbc61687a46328d5462,44435,True,PASS
stage3_raw,data/raw/stock_zh_a_hist/run_id=39a6996e-36d7-4b73-b0b8-c38da4ae672e/adjust=raw/symbol=600763/data.parquet,9ab4790d1de55f36609a55604e9e8500ca2205daa2c25497ce127b770fb48a58,9ab4790d1de55f36609a55604e9e8500ca2205daa2c25497ce127b770fb48a58,45980,True,PASS
stage3_raw,data/raw/stock_zh_a_hist/run_id=39a6996e-36d7-4b73-b0b8-c38da4ae672e/adjust=raw/symbol=601012/data.parquet,18fbdd4e1bda265660d9f77582415c979f8806c794bf6c39fb3612d54ff8be17,18fbdd4e1bda265660d9f77582415c979f8806c794bf6c39fb3612d54ff8be17,44015,True,PASS
stage3_raw,data/raw/stock_zh_a_hist/run_id=39a6996e-36d7-4b73-b0b8-c38da4ae672e/adjust=raw/symbol=601500/data.parquet,bdc6968ad9afae9715c1977144c10e450be71386a328e243a708eee28eb3ecbb,bdc6968ad9afae9715c1977144c10e450be71386a328e243a708eee28eb3ecbb,35972,True,PASS
stage3_raw,data/raw/stock_zh_a_hist/run_id=39a6996e-36d7-4b73-b0b8-c38da4ae672e/adjust=raw/symbol=601636/data.parquet,061327834db3a726eaaf99e7f7a5556cfcdb6ad065ffe911c80788a5dd67066c,061327834db3a726eaaf99e7f7a5556cfcdb6ad065ffe911c80788a5dd67066c,38400,True,PASS
stage3_raw,data/raw/stock_zh_a_hist/run_id=39a6996e-36d7-4b73-b0b8-c38da4ae672e/adjust=raw/symbol=603259/data.parquet,d2c3ae38acbb99d3e56a41f0cfbadb0e3c2e7448382fcc077be175b4758478b5,d2c3ae38acbb99d3e56a41f0cfbadb0e3c2e7448382fcc077be175b4758478b5,48397,True,PASS
stage3_raw,data/raw/stock_zh_a_hist/run_id=39a6996e-36d7-4b73-b0b8-c38da4ae672e/adjust=raw/symbol=603799/data.parquet,838520a3f03ce896c59326aec3f6459f1cd40e8ee0d0fa338b005e524efd3d43,838520a3f03ce896c59326aec3f6459f1cd40e8ee0d0fa338b005e524efd3d43,47796,True,PASS
stage3_raw,data/raw/stock_zh_a_spot_em/run_id=39a6996e-36d7-4b73-b0b8-c38da4ae672e/snapshot_date=2026-07-29/full_market.parquet,e128d6dc88e0ce8f9cddcdeb602358f600f2595662ab770b3c0d104b7d815185,e128d6dc88e0ce8f9cddcdeb602358f600f2595662ab770b3c0d104b7d815185,598226,True,PASS
stage3_raw,data/raw/stock_zh_a_spot_em/run_id=39a6996e-36d7-4b73-b0b8-c38da4ae672e/snapshot_date=2026-07-29/target_16.parquet,13ac134db3c6b18b3b65e32ce2c30a869df572417600402a6c728e48d7e0eca1,13ac134db3c6b18b3b65e32ce2c30a869df572417600402a6c728e48d7e0eca1,17291,True,PASS
stage4_raw,data/raw/stock_balance_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=000100/data.parquet,f161f12f99090996cde81bce019406a6e3d697fc2a69488a3b6e0a81e57a40b0,f161f12f99090996cde81bce019406a6e3d697fc2a69488a3b6e0a81e57a40b0,293957,True,PASS
stage4_raw,data/raw/stock_balance_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=002067/data.parquet,ffde58844351b337d436d69924c253035975ffad2c2ebb4ed2f63398e2546fda,ffde58844351b337d436d69924c253035975ffad2c2ebb4ed2f63398e2546fda,256447,True,PASS
stage4_raw,data/raw/stock_balance_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=002129/data.parquet,bd06972c56b0ef3922e7e015064499da44f6c98cce1c08856f3d06918f7b28c8,bd06972c56b0ef3922e7e015064499da44f6c98cce1c08856f3d06918f7b28c8,266040,True,PASS
stage4_raw,data/raw/stock_balance_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=002230/data.parquet,d1973337c76bf21b8836b7910c805faee017fb0dc1a71b50b033522a7b449d8b,d1973337c76bf21b8836b7910c805faee017fb0dc1a71b50b033522a7b449d8b,258225,True,PASS
