feature_group,path,feature_run_id,row_count,column_count,symbol_count,min_date,max_date,duplicate_key_count,null_required_key_count,infinite_value_count,schema_hash,manifest_size_match,manifest_hash_match,transform_run_id_match,status
price_daily,data/feature/price_daily/feature_run_id=48af48ca-2707-4c53-ad51-745a17b6295d/data.parquet,48af48ca-2707-4c53-ad51-745a17b6295d,11602,18,16,2023-07-27 00:00:00,2026-07-27 00:00:00,0,0,0,41873a521cad30cfea6bab39e456226368ed5aa5df28c30474d1c86efbaad104,True,True,True,PASS
trend_daily,data/feature/trend_daily/feature_run_id=48af48ca-2707-4c53-ad51-745a17b6295d/data.parquet,48af48ca-2707-4c53-ad51-745a17b6295d,11602,15,16,2023-07-27 00:00:00,2026-07-27 00:00:00,0,0,0,53de6b92ce6a853116c50adb48a33887e0627eb76b0a03151511b15a5da6488e,True,True,True,PASS
activity_daily,data/feature/activity_daily/feature_run_id=48af48ca-2707-4c53-ad51-745a17b6295d/data.parquet,48af48ca-2707-4c53-ad51-745a17b6295d,11602,19,16,2023-07-27 00:00:00,2026-07-27 00:00:00,0,0,0,a9cc8ef0a28a0f335a31b23f9d71e252e869d7dfc0f2a6b4d9d9e2e7b5356e1c,True,True,True,PASS
limit_event,data/feature/limit_event/feature_run_id=48af48ca-2707-4c53-ad51-745a17b6295d/data.parquet,48af48ca-2707-4c53-ad51-745a17b6295d,3862,17,16,2025-07-28 00:00:00,2026-07-27 00:00:00,0,0,0,a6db06e0dc72ea1a25bfae7a3c509124e9e46f9329c4c3d4a5da0200fbe2c219,True,True,True,PASS
financial_period,data/feature/financial_period/feature_run_id=48af48ca-2707-4c53-ad51-745a17b6295d/data.parquet,48af48ca-2707-4c53-ad51-745a17b6295d,2688,11,16,2021-12-31 00:00:00,2026-03-31 00:00:00,0,0,0,31382802b709b2c0ddb547c9a9190ed18f4f0bce2f4b6c89c5150ab2d4268f6f,True,True,True,PASS
fund_flow_daily,data/feature/fund_flow_daily/feature_run_id=48af48ca-2707-4c53-ad51-745a17b6295d/data.parquet,48af48ca-2707-4c53-ad51-745a17b6295d,1904,9,16,2026-01-13 00:00:00,2026-07-27 00:00:00,0,0,0,74b859077da92d86aa5940e337e2fb808be6d863ac7abed2e38e0a565cf52642,True,True,True,PASS
style_daily,data/feature/style_daily/feature_run_id=48af48ca-2707-4c53-ad51-745a17b6295d/data.parquet,48af48ca-2707-4c53-ad51-745a17b6295d,11602,42,16,2023-07-27 00:00:00,2026-07-27 00:00:00,0,0,0,7cdb50fbbf3c7b6ecc26811e7b6c53262a3304b7a655f1164eaefafbea8d7433,True,True,True,PASS
current_snapshot,data/feature/current_snapshot/feature_run_id=48af48ca-2707-4c53-ad51-745a17b6295d/data.parquet,48af48ca-2707-4c53-ad51-745a17b6295d,16,13,16,2026-07-29 03:35:34.785065+00:00,2026-07-29 03:35:34.785065+00:00,0,0,0,2a31f99620542a3de48530b038875f11cda33c763054d8df175240e91664536a,True,True,True,PASS
suspected_behavior_evidence,data/feature/suspected_behavior_evidence/feature_run_id=48af48ca-2707-4c53-ad51-745a17b6295d/data.parquet,48af48ca-2707-4c53-ad51-745a17b6295d,16,15,16,2026-07-27 00:00:00,2026-07-27 00:00:00,0,0,0,06fe3057e0d4691a93e818d0f408e21d372166821c14861a4d04fa043eb65d58,True,True,True,PASS
