run_id,dataset_id,symbol,adjust,status,row_count,column_count,min_date,max_date,schema_hash,quality_status,warning_count,error_count,raw_path,error_type,error_message
39a6996e-36d7-4b73-b0b8-c38da4ae672e,stock_zh_a_hist:002067:qfq,002067,qfq,success,726,12,2023-07-27,2026-07-27,3c3d5f8a65bfea911c294d9dc1d8fbb73b579f53ac559f654cc7fd3ab7d253a6,PASS,0,0,data/raw/stock_zh_a_hist/run_id=39a6996e-36d7-4b73-b0b8-c38da4ae672e/adjust=qfq/symbol=002067/data.parquet,,
39a6996e-36d7-4b73-b0b8-c38da4ae672e,stock_zh_a_hist:002067:raw,002067,,success,726,12,2023-07-27,2026-07-27,3c3d5f8a65bfea911c294d9dc1d8fbb73b579f53ac559f654cc7fd3ab7d253a6,PASS,0,0,data/raw/stock_zh_a_hist/run_id=39a6996e-36d7-4b73-b0b8-c38da4ae672e/adjust=raw/symbol=002067/data.parquet,,
39a6996e-36d7-4b73-b0b8-c38da4ae672e,stock_zh_a_hist:002600:qfq,002600,qfq,success,726,12,2023-07-27,2026-07-27,3c3d5f8a65bfea911c294d9dc1d8fbb73b579f53ac559f654cc7fd3ab7d253a6,PASS,0,0,data/raw/stock_zh_a_hist/run_id=39a6996e-36d7-4b73-b0b8-c38da4ae672e/adjust=qfq/symbol=002600/data.parquet,,
39a6996e-36d7-4b73-b0b8-c38da4ae672e,stock_zh_a_hist:002600:raw,002600,,success,726,12,2023-07-27,2026-07-27,3c3d5f8a65bfea911c294d9dc1d8fbb73b579f53ac559f654cc7fd3ab7d253a6,PASS,0,0,data/raw/stock_zh_a_hist/run_id=39a6996e-36d7-4b73-b0b8-c38da4ae672e/adjust=raw/symbol=002600/data.parquet,,
39a6996e-36d7-4b73-b0b8-c38da4ae672e,stock_zh_a_hist:002230:qfq,002230,qfq,success,726,12,2023-07-27,2026-07-27,3c3d5f8a65bfea911c294d9dc1d8fbb73b579f53ac559f654cc7fd3ab7d253a6,PASS,0,0,data/raw/stock_zh_a_hist/run_id=39a6996e-36d7-4b73-b0b8-c38da4ae672e/adjust=qfq/symbol=002230/data.parquet,,
39a6996e-36d7-4b73-b0b8-c38da4ae672e,stock_zh_a_hist:002230:raw,002230,,success,726,12,2023-07-27,2026-07-27,3c3d5f8a65bfea911c294d9dc1d8fbb73b579f53ac559f654cc7fd3ab7d253a6,PASS,0,0,data/raw/stock_zh_a_hist/run_id=39a6996e-36d7-4b73-b0b8-c38da4ae672e/adjust=raw/symbol=002230/data.parquet,,
39a6996e-36d7-4b73-b0b8-c38da4ae672e,stock_zh_a_hist:600763:qfq,600763,qfq,success,726,12,2023-07-27,2026-07-27,3c3d5f8a65bfea911c294d9dc1d8fbb73b579f53ac559f654cc7fd3ab7d253a6,PASS,0,0,data/raw/stock_zh_a_hist/run_id=39a6996e-36d7-4b73-b0b8-c38da4ae672e/adjust=qfq/symbol=600763/data.parquet,,
39a6996e-36d7-4b73-b0b8-c38da4ae672e,stock_zh_a_hist:600763:raw,600763,,success,726,12,2023-07-27,2026-07-27,3c3d5f8a65bfea911c294d9dc1d8fbb73b579f53ac559f654cc7fd3ab7d253a6,PASS,0,0,data/raw/stock_zh_a_hist/run_id=39a6996e-36d7-4b73-b0b8-c38da4ae672e/adjust=raw/symbol=600763/data.parquet,,
39a6996e-36d7-4b73-b0b8-c38da4ae672e,stock_zh_a_hist:603259:qfq,603259,qfq,success,726,12,2023-07-27,2026-07-27,3c3d5f8a65bfea911c294d9dc1d8fbb73b579f53ac559f654cc7fd3ab7d253a6,PASS,0,0,data/raw/stock_zh_a_hist/run_id=39a6996e-36d7-4b73-b0b8-c38da4ae672e/adjust=qfq/symbol=603259/data.parquet,,
39a6996e-36d7-4b73-b0b8-c38da4ae672e,stock_zh_a_hist:603259:raw,603259,,success,726,12,2023-07-27,2026-07-27,3c3d5f8a65bfea911c294d9dc1d8fbb73b579f53ac559f654cc7fd3ab7d253a6,PASS,0,0,data/raw/stock_zh_a_hist/run_id=39a6996e-36d7-4b73-b0b8-c38da4ae672e/adjust=raw/symbol=603259/data.parquet,,
39a6996e-36d7-4b73-b0b8-c38da4ae672e,stock_zh_a_hist:603799:qfq,603799,qfq,success,726,12,2023-07-27,2026-07-27,3c3d5f8a65bfea911c294d9dc1d8fbb73b579f53ac559f654cc7fd3ab7d253a6,PASS,0,0,data/raw/stock_zh_a_hist/run_id=39a6996e-36d7-4b73-b0b8-c38da4ae672e/adjust=qfq/symbol=603799/data.parquet,,
39a6996e-36d7-4b73-b0b8-c38da4ae672e,stock_zh_a_hist:603799:raw,603799,,success,726,12,2023-07-27,2026-07-27,3c3d5f8a65bfea911c294d9dc1d8fbb73b579f53ac559f654cc7fd3ab7d253a6,PASS,0,0,data/raw/stock_zh_a_hist/run_id=39a6996e-36d7-4b73-b0b8-c38da4ae672e/adjust=raw/symbol=603799/data.parquet,,
39a6996e-36d7-4b73-b0b8-c38da4ae672e,stock_zh_a_hist:601012:qfq,601012,qfq,success,726,12,2023-07-27,2026-07-27,3c3d5f8a65bfea911c294d9dc1d8fbb73b579f53ac559f654cc7fd3ab7d253a6,PASS,0,0,data/raw/stock_zh_a_hist/run_id=39a6996e-36d7-4b73-b0b8-c38da4ae672e/adjust=qfq/symbol=601012/data.parquet,,
39a6996e-36d7-4b73-b0b8-c38da4ae672e,stock_zh_a_hist:601012:raw,601012,,success,726,12,2023-07-27,2026-07-27,3c3d5f8a65bfea911c294d9dc1d8fbb73b579f53ac559f654cc7fd3ab7d253a6,PASS,0,0,data/raw/stock_zh_a_hist/run_id=39a6996e-36d7-4b73-b0b8-c38da4ae672e/adjust=raw/symbol=601012/data.parquet,,
39a6996e-36d7-4b73-b0b8-c38da4ae672e,stock_zh_a_hist:600438:qfq,600438,qfq,success,716,12,2023-07-27,2026-07-27,3c3d5f8a65bfea911c294d9dc1d8fbb73b579f53ac559f654cc7fd3ab7d253a6,PASS,0,0,data/raw/stock_zh_a_hist/run_id=39a6996e-36d7-4b73-b0b8-c38da4ae672e/adjust=qfq/symbol=600438/data.parquet,,
39a6996e-36d7-4b73-b0b8-c38da4ae672e,stock_zh_a_hist:600438:raw,600438,,success,716,12,2023-07-27,2026-07-27,3c3d5f8a65bfea911c294d9dc1d8fbb73b579f53ac559f654cc7fd3ab7d253a6,PASS,0,0,data/raw/stock_zh_a_hist/run_id=39a6996e-36d7-4b73-b0b8-c38da4ae672e/adjust=raw/symbol=600438/data.parquet,,
39a6996e-36d7-4b73-b0b8-c38da4ae672e,stock_zh_a_hist:002361:qfq,002361,qfq,success,726,12,2023-07-27,2026-07-27,3c3d5f8a65bfea911c294d9dc1d8fbb73b579f53ac559f654cc7fd3ab7d253a6,PASS,0,0,data/raw/stock_zh_a_hist/run_id=39a6996e-36d7-4b73-b0b8-c38da4ae672e/adjust=qfq/symbol=002361/data.parquet,,
