feature_group,first_size,second_size,first_sha256,second_sha256,first_mtime_ns,second_mtime_ns,size_match,sha256_match,mtime_match,second_action,status
price_daily,868718,868718,6855ab65b8ddb33446411624ca5339e712b8f97248ee4ca2fccd67f2595d4198,6855ab65b8ddb33446411624ca5339e712b8f97248ee4ca2fccd67f2595d4198,1785393624990377000,1785393624990377000,True,True,True,reused,PASS
trend_daily,562341,562341,2f15ca7b559269c0d908c8371a6d2a0bbcfe9611230a4b2a8d6655049c5543a7,2f15ca7b559269c0d908c8371a6d2a0bbcfe9611230a4b2a8d6655049c5543a7,1785393625030180000,1785393625030180000,True,True,True,reused,PASS
activity_daily,339856,339856,34ac8115b8456b66f43667bb6920f7269c5174ac7db228d043bc7ebf4eefd103,34ac8115b8456b66f43667bb6920f7269c5174ac7db228d043bc7ebf4eefd103,1785393625071043300,1785393625071043300,True,True,True,reused,PASS
limit_event,82837,82837,1b1fcb7ecd55096112b3bea1ad2f472342a32a218495325a1f6f34a51db9a12e,1b1fcb7ecd55096112b3bea1ad2f472342a32a218495325a1f6f34a51db9a12e,1785393625096587000,1785393625096587000,True,True,True,reused,PASS
financial_period,33487,33487,50d0704e4fe531af0df5005580e2e9381bf23c8f19f22da96d8c40e698ebf929,50d0704e4fe531af0df5005580e2e9381bf23c8f19f22da96d8c40e698ebf929,1785393625120167200,1785393625120167200,True,True,True,reused,PASS
fund_flow_daily,34436,34436,2e7c3ffe7e1e9cbee537da34d279b69ff0c44a111f87b823924899047393cc8a,2e7c3ffe7e1e9cbee537da34d279b69ff0c44a111f87b823924899047393cc8a,1785393625151001900,1785393625151001900,True,True,True,reused,PASS
style_daily,1833579,1833579,6030d6b0714c4944a9a4c5d1530ced638fe91219c580dd064ca7ad4814a0872a,6030d6b0714c4944a9a4c5d1530ced638fe91219c580dd064ca7ad4814a0872a,1785393625198380700,1785393625198380700,True,True,True,reused,PASS
suspected_behavior_evidence,10866,10866,4bae49cf0f6bf468e5a1c2be53ff88bd1f40e50e4e447cbd1e7f9d547099cc74,4bae49cf0f6bf468e5a1c2be53ff88bd1f40e50e4e447cbd1e7f9d547099cc74,1785393625224216700,1785393625224216700,True,True,True,reused,PASS
current_snapshot,9925,9925,5ca9cc259e9ac71e7391852ede638a14fbc32854b949f207e06385f748496cc4,5ca9cc259e9ac71e7391852ede638a14fbc32854b949f207e06385f748496cc4,1785393625242107300,1785393625242107300,True,True,True,reused,PASS
