symbol,market,feature_name,feature_status,unavailable_reason,lineage_present,quality_status
600438,A,total_assets,PASS,,True,PASS
600438,A,total_equity,PASS,,True,PASS
600763,A,debt_to_asset,PASS,,True,PASS
600763,A,net_margin,PASS,,True,PASS
600763,A,net_profit,PASS,,True,PASS
600763,A,net_profit_yoy,PASS,,True,PASS
600763,A,ocf_to_net_profit,PASS,,True,PASS
600763,A,operating_cash_flow,PASS,,True,PASS
600763,A,revenue,PASS,,True,PASS
600763,A,revenue_yoy,PASS,,True,PASS
600763,A,roa,UNAVAILABLE,ANNUAL_OR_PRIOR_BALANCE_UNAVAILABLE,True,PASS
600763,A,roe,UNAVAILABLE,ANNUAL_OR_PRIOR_BALANCE_UNAVAILABLE,True,PASS
600763,A,total_assets,PASS,,True,PASS
600763,A,total_equity,PASS,,True,PASS
601012,A,debt_to_asset,PASS,,True,PASS
601012,A,net_margin,PASS,,True,PASS
601012,A,net_profit,PASS,,True,PASS
601012,A,net_profit_yoy,PASS,,True,PASS
601012,A,ocf_to_net_profit,PASS,,True,PASS
601012,A,operating_cash_flow,PASS,,True,PASS
601012,A,revenue,PASS,,True,PASS
601012,A,revenue_yoy,PASS,,True,PASS
601012,A,roa,PASS,,True,PASS
601012,A,roe,PASS,,True,PASS
601012,A,total_assets,PASS,,True,PASS
601012,A,total_equity,PASS,,True,PASS
601500,A,debt_to_asset,PASS,,True,PASS
601500,A,net_margin,PASS,,True,PASS
601500,A,net_profit,PASS,,True,PASS
601500,A,net_profit_yoy,PASS,,True,PASS
601500,A,ocf_to_net_profit,PASS,,True,PASS
601500,A,operating_cash_flow,PASS,,True,PASS
601500,A,revenue,PASS,,True,PASS
601500,A,revenue_yoy,PASS,,True,PASS
601500,A,roa,UNAVAILABLE,ANNUAL_OR_PRIOR_BALANCE_UNAVAILABLE,True,PASS
601500,A,roe,UNAVAILABLE,ANNUAL_OR_PRIOR_BALANCE_UNAVAILABLE,True,PASS
601500,A,total_assets,PASS,,True,PASS
601500,A,total_equity,PASS,,True,PASS
