symbol,exchange,query_type,keyword,query_url,request_body,start_date,end_date,result_count,pages,retrieved_at,file
002230,SZ,keyword_riskwarning,风险警示,https://www.szse.cn/api/disc/announcement/annList,"{""seDate"": [""2025-07-25"", ""2026-07-27""], ""stock"": [""002230""], ""keyword"": ""风险警示""}",2025-07-25,2026-07-27,0,1,2026-08-06T14:35:53+08:00,data/manual/stage8/security_status/sources/SZ/002230/*riskwarning*
002361,SZ,keyword_namechange,证券简称变更,https://www.szse.cn/api/disc/announcement/annList,"{""seDate"": [""2025-07-25"", ""2026-07-27""], ""stock"": [""002361""], ""keyword"": ""证券简称变更""}",2025-07-25,2026-07-27,0,1,2026-08-06T14:35:53+08:00,data/manual/stage8/security_status/sources/SZ/002361/*namechange*
002361,SZ,keyword_cancel_riskwarning,撤销风险警示,https://www.szse.cn/api/disc/announcement/annList,"{""seDate"": [""2025-07-25"", ""2026-07-27""], ""stock"": [""002361""], ""keyword"": ""撤销风险警示""}",2025-07-25,2026-07-27,0,1,2026-08-06T14:35:53+08:00,data/manual/stage8/security_status/sources/SZ/002361/*cancel_riskwarning*
002361,SZ,keyword_delisting,退市,https://www.szse.cn/api/disc/announcement/annList,"{""seDate"": [""2025-07-25"", ""2026-07-27""], ""stock"": [""002361""], ""keyword"": ""退市""}",2025-07-25,2026-07-27,0,1,2026-08-06T14:35:53+08:00,data/manual/stage8/security_status/sources/SZ/002361/*delisting*
002361,SZ,all_announcements,,https://www.szse.cn/api/disc/announcement/annList,"{""seDate"": [""2025-07-25"", ""2026-07-27""], ""stock"": [""002361""]}",2025-07-25,2026-07-27,99,2,2026-08-06T14:35:53+08:00,data/manual/stage8/security_status/sources/SZ/002361/*all*
002361,SZ,keyword_riskwarning,风险警示,https://www.szse.cn/api/disc/announcement/annList,"{""seDate"": [""2025-07-25"", ""2026-07-27""], ""stock"": [""002361""], ""keyword"": ""风险警示""}",2025-07-25,2026-07-27,0,1,2026-08-06T14:35:53+08:00,data/manual/stage8/security_status/sources/SZ/002361/*riskwarning*
002600,SZ,keyword_namechange,证券简称变更,https://www.szse.cn/api/disc/announcement/annList,"{""seDate"": [""2025-07-25"", ""2026-07-27""], ""stock"": [""002600""], ""keyword"": ""证券简称变更""}",2025-07-25,2026-07-27,0,1,2026-08-06T14:35:53+08:00,data/manual/stage8/security_status/sources/SZ/002600/*namechange*
002600,SZ,keyword_cancel_riskwarning,撤销风险警示,https://www.szse.cn/api/disc/announcement/annList,"{""seDate"": [""2025-07-25"", ""2026-07-27""], ""stock"": [""002600""], ""keyword"": ""撤销风险警示""}",2025-07-25,2026-07-27,0,1,2026-08-06T14:35:53+08:00,data/manual/stage8/security_status/sources/SZ/002600/*cancel_riskwarning*
002600,SZ,keyword_delisting,退市,https://www.szse.cn/api/disc/announcement/annList,"{""seDate"": [""2025-07-25"", ""2026-07-27""], ""stock"": [""002600""], ""keyword"": ""退市""}",2025-07-25,2026-07-27,0,1,2026-08-06T14:35:53+08:00,data/manual/stage8/security_status/sources/SZ/002600/*delisting*
002600,SZ,all_announcements,,https://www.szse.cn/api/disc/announcement/annList,"{""seDate"": [""2025-07-25"", ""2026-07-27""], ""stock"": [""002600""]}",2025-07-25,2026-07-27,317,7,2026-08-06T14:35:53+08:00,data/manual/stage8/security_status/sources/SZ/002600/*all*
002600,SZ,keyword_riskwarning,风险警示,https://www.szse.cn/api/disc/announcement/annList,"{""seDate"": [""2025-07-25"", ""2026-07-27""], ""stock"": [""002600""], ""keyword"": ""风险警示""}",2025-07-25,2026-07-27,0,1,2026-08-06T14:35:53+08:00,data/manual/stage8/security_status/sources/SZ/002600/*riskwarning*
300274,SZ,keyword_namechange,证券简称变更,https://www.szse.cn/api/disc/announcement/annList,"{""seDate"": [""2025-07-25"", ""2026-07-27""], ""stock"": [""300274""], ""keyword"": ""证券简称变更""}",2025-07-25,2026-07-27,0,1,2026-08-06T14:35:53+08:00,data/manual/stage8/security_status/sources/SZ/300274/*namechange*
300274,SZ,keyword_cancel_riskwarning,撤销风险警示,https://www.szse.cn/api/disc/announcement/annList,"{""seDate"": [""2025-07-25"", ""2026-07-27""], ""stock"": [""300274""], ""keyword"": ""撤销风险警示""}",2025-07-25,2026-07-27,0,1,2026-08-06T14:35:53+08:00,data/manual/stage8/security_status/sources/SZ/300274/*cancel_riskwarning*
300274,SZ,keyword_delisting,退市,https://www.szse.cn/api/disc/announcement/annList,"{""seDate"": [""2025-07-25"", ""2026-07-27""], ""stock"": [""300274""], ""keyword"": ""退市""}",2025-07-25,2026-07-27,0,1,2026-08-06T14:35:53+08:00,data/manual/stage8/security_status/sources/SZ/300274/*delisting*
300274,SZ,all_announcements,,https://www.szse.cn/api/disc/announcement/annList,"{""seDate"": [""2025-07-25"", ""2026-07-27""], ""stock"": [""300274""]}",2025-07-25,2026-07-27,146,3,2026-08-06T14:35:53+08:00,data/manual/stage8/security_status/sources/SZ/300274/*all*
300274,SZ,keyword_riskwarning,风险警示,https://www.szse.cn/api/disc/announcement/annList,"{""seDate"": [""2025-07-25"", ""2026-07-27""], ""stock"": [""300274""], ""keyword"": ""风险警示""}",2025-07-25,2026-07-27,0,1,2026-08-06T14:35:53+08:00,data/manual/stage8/security_status/sources/SZ/300274/*riskwarning*
300433,SZ,keyword_namechange,证券简称变更,https://www.szse.cn/api/disc/announcement/annList,"{""seDate"": [""2025-07-25"", ""2026-07-27""], ""stock"": [""300433""], ""keyword"": ""证券简称变更""}",2025-07-25,2026-07-27,0,1,2026-08-06T14:35:53+08:00,data/manual/stage8/security_status/sources/SZ/300433/*namechange*
300433,SZ,keyword_cancel_riskwarning,撤销风险警示,https://www.szse.cn/api/disc/announcement/annList,"{""seDate"": [""2025-07-25"", ""2026-07-27""], ""stock"": [""300433""], ""keyword"": ""撤销风险警示""}",2025-07-25,2026-07-27,0,1,2026-08-06T14:35:53+08:00,data/manual/stage8/security_status/sources/SZ/300433/*cancel_riskwarning*
300433,SZ,keyword_delisting,退市,https://www.szse.cn/api/disc/announcement/annList,"{""seDate"": [""2025-07-25"", ""2026-07-27""], ""stock"": [""300433""], ""keyword"": ""退市""}",2025-07-25,2026-07-27,0,1,2026-08-06T14:35:53+08:00,data/manual/stage8/security_status/sources/SZ/300433/*delisting*
300433,SZ,all_announcements,,https://www.szse.cn/api/disc/announcement/annList,"{""seDate"": [""2025-07-25"", ""2026-07-27""], ""stock"": [""300433""]}",2025-07-25,2026-07-27,164,4,2026-08-06T14:35:53+08:00,data/manual/stage8/security_status/sources/SZ/300433/*all*
300433,SZ,keyword_riskwarning,风险警示,https://www.szse.cn/api/disc/announcement/annList,"{""seDate"": [""2025-07-25"", ""2026-07-27""], ""stock"": [""300433""], ""keyword"": ""风险警示""}",2025-07-25,2026-07-27,0,1,2026-08-06T14:35:53+08:00,data/manual/stage8/security_status/sources/SZ/300433/*riskwarning*
600231,SH,keyword_namechange,证券简称变更,https://query.sse.com.cn/security/stock/queryCompanyBulletinNew.do,"{""seDate"": [""2025-07-25"", ""2026-07-27""], ""stock"": [""600231""], ""keyword"": ""证券简称变更""}",2025-07-25,2026-07-27,0,1,2026-08-06T14:35:53+08:00,data/manual/stage8/security_status/sources/SH/600231/*namechange*
600231,SH,keyword_cancel_riskwarning,撤销风险警示,https://query.sse.com.cn/security/stock/queryCompanyBulletinNew.do,"{""seDate"": [""2025-07-25"", ""2026-07-27""], ""stock"": [""600231""], ""keyword"": ""撤销风险警示""}",2025-07-25,2026-07-27,0,1,2026-08-06T14:35:53+08:00,data/manual/stage8/security_status/sources/SH/600231/*cancel_riskwarning*
600231,SH,keyword_delisting,退市,https://query.sse.com.cn/security/stock/queryCompanyBulletinNew.do,"{""seDate"": [""2025-07-25"", ""2026-07-27""], ""stock"": [""600231""], ""keyword"": ""退市""}",2025-07-25,2026-07-27,0,1,2026-08-06T14:35:53+08:00,data/manual/stage8/security_status/sources/SH/600231/*delisting*
600231,SH,all_announcements,,https://query.sse.com.cn/security/stock/queryCompanyBulletinNew.do,"{""seDate"": [""2025-07-25"", ""2026-07-27""], ""stock"": [""600231""]}",2025-07-25,2026-07-27,92,1,2026-08-06T14:35:53+08:00,data/manual/stage8/security_status/sources/SH/600231/*all*
600231,SH,keyword_riskwarning,风险警示,https://query.sse.com.cn/security/stock/queryCompanyBulletinNew.do,"{""seDate"": [""2025-07-25"", ""2026-07-27""], ""stock"": [""600231""], ""keyword"": ""风险警示""}",2025-07-25,2026-07-27,0,1,2026-08-06T14:35:53+08:00,data/manual/stage8/security_status/sources/SH/600231/*riskwarning*
600438,SH,keyword_namechange,证券简称变更,https://query.sse.com.cn/security/stock/queryCompanyBulletinNew.do,"{""seDate"": [""2025-07-25"", ""2026-07-27""], ""stock"": [""600438""], ""keyword"": ""证券简称变更""}",2025-07-25,2026-07-27,0,1,2026-08-06T14:35:53+08:00,data/manual/stage8/security_status/sources/SH/600438/*namechange*
600438,SH,keyword_cancel_riskwarning,撤销风险警示,https://query.sse.com.cn/security/stock/queryCompanyBulletinNew.do,"{""seDate"": [""2025-07-25"", ""2026-07-27""], ""stock"": [""600438""], ""keyword"": ""撤销风险警示""}",2025-07-25,2026-07-27,0,1,2026-08-06T14:35:53+08:00,data/manual/stage8/security_status/sources/SH/600438/*cancel_riskwarning*
600438,SH,keyword_delisting,退市,https://query.sse.com.cn/security/stock/queryCompanyBulletinNew.do,"{""seDate"": [""2025-07-25"", ""2026-07-27""], ""stock"": [""600438""], ""keyword"": ""退市""}",2025-07-25,2026-07-27,0,1,2026-08-06T14:35:53+08:00,data/manual/stage8/security_status/sources/SH/600438/*delisting*
600438,SH,all_announcements,,https://query.sse.com.cn/security/stock/queryCompanyBulletinNew.do,"{""seDate"": [""2025-07-25"", ""2026-07-27""], ""stock"": [""600438""]}",2025-07-25,2026-07-27,93,1,2026-08-06T14:35:53+08:00,data/manual/stage8/security_status/sources/SH/600438/*all*
600438,SH,keyword_riskwarning,风险警示,https://query.sse.com.cn/security/stock/queryCompanyBulletinNew.do,"{""seDate"": [""2025-07-25"", ""2026-07-27""], ""stock"": [""600438""], ""keyword"": ""风险警示""}",2025-07-25,2026-07-27,0,1,2026-08-06T14:35:53+08:00,data/manual/stage8/security_status/sources/SH/600438/*riskwarning*
600763,SH,keyword_namechange,证券简称变更,https://query.sse.com.cn/security/stock/queryCompanyBulletinNew.do,"{""seDate"": [""2025-07-25"", ""2026-07-27""], ""stock"": [""600763""], ""keyword"": ""证券简称变更""}",2025-07-25,2026-07-27,0,1,2026-08-06T14:35:53+08:00,data/manual/stage8/security_status/sources/SH/600763/*namechange*
600763,SH,keyword_cancel_riskwarning,撤销风险警示,https://query.sse.com.cn/security/stock/queryCompanyBulletinNew.do,"{""seDate"": [""2025-07-25"", ""2026-07-27""], ""stock"": [""600763""], ""keyword"": ""撤销风险警示""}",2025-07-25,2026-07-27,0,1,2026-08-06T14:35:53+08:00,data/manual/stage8/security_status/sources/SH/600763/*cancel_riskwarning*
600763,SH,keyword_delisting,退市,https://query.sse.com.cn/security/stock/queryCompanyBulletinNew.do,"{""seDate"": [""2025-07-25"", ""2026-07-27""], ""stock"": [""600763""], ""keyword"": ""退市""}",2025-07-25,2026-07-27,0,1,2026-08-06T14:35:53+08:00,data/manual/stage8/security_status/sources/SH/600763/*delisting*
600763,SH,all_announcements,,https://query.sse.com.cn/security/stock/queryCompanyBulletinNew.do,"{""seDate"": [""2025-07-25"", ""2026-07-27""], ""stock"": [""600763""]}",2025-07-25,2026-07-27,54,1,2026-08-06T14:35:53+08:00,data/manual/stage8/security_status/sources/SH/600763/*all*
600763,SH,keyword_riskwarning,风险警示,https://query.sse.com.cn/security/stock/queryCompanyBulletinNew.do,"{""seDate"": [""2025-07-25"", ""2026-07-27""], ""stock"": [""600763""], ""keyword"": ""风险警示""}",2025-07-25,2026-07-27,0,1,2026-08-06T14:35:53+08:00,data/manual/stage8/security_status/sources/SH/600763/*riskwarning*
601012,SH,keyword_namechange,证券简称变更,https://query.sse.com.cn/security/stock/queryCompanyBulletinNew.do,"{""seDate"": [""2025-07-25"", ""2026-07-27""], ""stock"": [""601012""], ""keyword"": ""证券简称变更""}",2025-07-25,2026-07-27,0,1,2026-08-06T14:35:53+08:00,data/manual/stage8/security_status/sources/SH/601012/*namechange*
601012,SH,keyword_cancel_riskwarning,撤销风险警示,https://query.sse.com.cn/security/stock/queryCompanyBulletinNew.do,"{""seDate"": [""2025-07-25"", ""2026-07-27""], ""stock"": [""601012""], ""keyword"": ""撤销风险警示""}",2025-07-25,2026-07-27,0,1,2026-08-06T14:35:53+08:00,data/manual/stage8/security_status/sources/SH/601012/*cancel_riskwarning*
601012,SH,keyword_delisting,退市,https://query.sse.com.cn/security/stock/queryCompanyBulletinNew.do,"{""seDate"": [""2025-07-25"", ""2026-07-27""], ""stock"": [""601012""], ""keyword"": ""退市""}",2025-07-25,2026-07-27,0,1,2026-08-06T14:35:53+08:00,data/manual/stage8/security_status/sources/SH/601012/*delisting*
601012,SH,all_announcements,,https://query.sse.com.cn/security/stock/queryCompanyBulletinNew.do,"{""seDate"": [""2025-07-25"", ""2026-07-27""], ""stock"": [""601012""]}",2025-07-25,2026-07-27,78,1,2026-08-06T14:35:53+08:00,data/manual/stage8/security_status/sources/SH/601012/*all*
601012,SH,keyword_riskwarning,风险警示,https://query.sse.com.cn/security/stock/queryCompanyBulletinNew.do,"{""seDate"": [""2025-07-25"", ""2026-07-27""], ""stock"": [""601012""], ""keyword"": ""风险警示""}",2025-07-25,2026-07-27,0,1,2026-08-06T14:35:53+08:00,data/manual/stage8/security_status/sources/SH/601012/*riskwarning*
601500,SH,keyword_namechange,证券简称变更,https://query.sse.com.cn/security/stock/queryCompanyBulletinNew.do,"{""seDate"": [""2025-07-25"", ""2026-07-27""], ""stock"": [""601500""], ""keyword"": ""证券简称变更""}",2025-07-25,2026-07-27,0,1,2026-08-06T14:35:53+08:00,data/manual/stage8/security_status/sources/SH/601500/*namechange*
601500,SH,keyword_cancel_riskwarning,撤销风险警示,https://query.sse.com.cn/security/stock/queryCompanyBulletinNew.do,"{""seDate"": [""2025-07-25"", ""2026-07-27""], ""stock"": [""601500""], ""keyword"": ""撤销风险警示""}",2025-07-25,2026-07-27,0,1,2026-08-06T14:35:53+08:00,data/manual/stage8/security_status/sources/SH/601500/*cancel_riskwarning*
